custid,AreaCode,age,gender,kids,education,income,dataplan,basebill,bill,mins,calls,long,numphones,numother,consecmonths,datause,dataperc,undercontract,Manufacturer,Model,Version,OS,Patch,Mem,Storage,Touchscreen,Color,KPI_DeviceSat,KPI_NetworkQual,servcalls,drops,dropperc,CompPromo60,churn
288493,814,39,M,2,5,62.8,4096,82.24,100.21,479,71,25,1,0,21,165,0.040283203125,Y,Samsung,GalaxyS2,Gen1,Honeycomb,S1,32GB,Y,Y,silver,0.00966244373518907,0.785960397,0,10,0.0208768267223382,Promo,N
860457,278,39,F,1,13,84.8,4096,186.54,199.9,579,69,30,1,0,21,0,0.0,Y,Apple,iPhone5s,Gen1,iOS2,S2,8GB,N,Y,silver,0.0228034371581426,0.798810583,0,13,0.0224525043177893,Promo,N
127386,319,57,F,1,13,55.6,4096,94.1,111.78,544,24,28,1,0,19,21,0.005126953125,Y,HTC,Desire500,Gen2,Bada,S4,8GB,N,Y,silver,0.0109327690294595,0.701120968,0,9,0.0165441176470588,NoPromo,N
937795,323,64,M,2,12,61.2,2048,59.16,71.44,288,84,16,1,0,23,849,0.41455078125,Y,Apple,iPhone5,Gen1,iOS3,S1,16GB,Y,Y,gold,0.0214952679063629,0.49377522799999995,0,12,0.0416666666666667,Promo,N
831993,703,56,F,1,7,53.3,6144,86.3,98.79,571,26,29,1,0,32,0,0.0,N,Motorola,RazrM,Gen1,KitKat,S4,16GB,Y,N,white,0.0248741896443985,0.504101766,0,11,0.0192644483362522,Promo,N
435945,252,34,M,2,12,98.8,6144,86.7,96.02,379,89,19,1,0,29,1019,0.165852864583333,N,Motorola,DroidMaxx,Gen1,Honeycomb,S2,16GB,N,Y,black,0.0188606844307491,0.465253994,0,10,0.0263852242744063,Promo,N
449853,603,53,M,0,10,81.2,6144,59.76,72.78,564,56,32,1,0,24,501,0.08154296875,N,Motorola,MotoG,Gen1,Gingerbread,S1,8GB,Y,Y,black,0.0171297684027421,0.6762420640000001,0,10,0.0177304964539007,NoPromo,N
184369,613,38,M,4,7,46.8,4096,86.99,104.67,480,106,29,1,0,41,653,0.159423828125,N,Apple,iPhone4,Gen5,iOS5,S3,64GB,Y,N,black,0.0193939175548491,0.716983294,0,6,0.0125,NoPromo,N
601428,815,33,M,2,7,74.7,2048,109.97,118.42,668,26,37,2,0,20,881,0.43017578125,Y,Samsung,GalaxyS1,Gen7,IceCreamSandwich,S3,64GB,Y,Y,white,0.011598841752036002,0.376320628,0,8,0.0119760479041916,Promo,N
518246,415,33,M,1,11,88.3,2048,51.64,62.49,440,89,52,1,0,26,238,0.1162109375,N,Samsung,GalaxyS0,Gen2,JellyBean,S5,16GB,Y,N,black,0.0116655677748666,0.662148594,0,11,0.025,NoPromo,N
698042,317,45,F,2,12,61.1,2048,59.29,68.2,697,43,43,2,0,32,318,0.1552734375,N,Samsung,Galaxy,Gen4,KitKat,S5,16GB,N,Y,green,0.00715434564871308,0.526147204,0,11,0.0157819225251076,NoPromo,N
99579,369,34,F,1,10,77.8,6144,144.27,149.49,504,72,26,1,0,38,1204,0.195963541666667,N,Motorola,MotoX,Gen6,Froyo,S2,16GB,Y,Y,black,0.018215539924268997,0.5847465070000001,0,12,0.0238095238095238,NoPromo,Y
702464,618,40,M,3,9,86.4,2048,142.86,151.25,538,53,30,1,0,32,1287,0.62841796875,N,HTC,Desire500,Gen5,Bada,S2,32GB,Y,Y,black,0.0119101339502722,0.713182599,0,12,0.0223048327137546,NoPromo,N
873682,862,39,F,1,12,90.5,2048,134.56,152.39,282,48,14,3,0,20,1042,0.5087890625,Y,Samsung,GalaxyS4,Gen1,Froyo,S2,16GB,Y,N,red,0.0174191353836802,0.67244134,0,9,0.0319148936170213,Promo,N
379826,617,46,F,2,8,90.5,2048,103.13,111.27,689,65,37,2,0,29,1517,0.74072265625,N,Motorola,RazrM,Gen1,KitKat,S1,32GB,Y,Y,black,0.0192228709056608,0.596008496,0,11,0.0159651669085631,NoPromo,N
735337,719,45,M,1,9,69.7,2048,79.0,85.41,529,73,26,1,0,44,1200,0.5859375,N,Motorola,DroidMini,Gen1,JellyBean,S2,8GB,Y,Y,white,0.0200522695398893,0.419794699,0,17,0.0321361058601134,NoPromo,N
931548,603,32,F,0,9,36.3,6144,126.18,138.55,491,53,25,1,0,32,441,0.07177734375,N,Apple,iPhone4,Gen1,iOS5,S2,16GB,Y,N,gold,0.0276391556633162,0.6762420640000001,0,7,0.0142566191446029,NoPromo,N
308712,737,10,F,1,11,60.2,6144,70.29,79.53,630,101,33,1,0,19,1416,0.23046875,Y,Apple,iPhone3G,Gen4,iOS6,S9,16GB,Y,Y,red,0.0173198060211631,0.42586013,0,6,0.00952380952380952,NoPromo,N
54918,806,48,M,2,7,61.5,6144,113.37,122.33,515,60,48,2,0,17,1049,0.170735677083333,Y,Apple,iPhone3G,Gen2,iOS6,S6,64GB,N,Y,white,0.0177541009103878,0.563376754,0,9,0.0174757281553398,NoPromo,N
655089,585,37,M,0,11,72.6,2048,90.67,96.65,505,49,28,2,0,28,996,0.486328125,N,Apple,iPhone3G,Gen1,iOS6,S5,8GB,N,Y,green,0.0198153416156108,0.72866274,0,6,0.0118811881188119,NoPromo,N
450972,636,36,F,5,8,80.8,4096,112.64,123.98,599,79,37,2,0,24,1237,0.302001953125,N,HTC,Desire601,Gen2,Honeycomb,S1,8GB,N,Y,green,0.00932025585008732,0.180675803,0,7,0.011686143572621,NoPromo,N
433315,323,41,M,3,11,96.0,2048,72.33,83.16,545,67,28,1,0,22,1025,0.50048828125,Y,Samsung,Galaxy,Gen6,KitKat,S1,16GB,Y,N,black,0.0130731352372554,0.49377522799999995,0,7,0.0128440366972477,Promo,N
854319,205,38,M,0,11,78.8,4096,76.76,84.59,437,90,23,1,0,21,990,0.24169921875,Y,Apple,iPhone3G,Gen2,iOS6,S2,64GB,N,Y,white,0.0216369744735049,0.6453962520000001,0,8,0.0183066361556064,NoPromo,N
444703,602,47,F,1,9,73.2,6144,130.64,132.15,333,47,21,1,0,22,2025,0.32958984375,Y,Apple,iPhone3G,Gen1,iOS6,S1,8GB,N,Y,gold,0.0209916703083228,0.83990507,0,12,0.03603603603603601,NoPromo,N
256550,256,36,M,2,9,77.4,2048,151.4,160.59,585,105,30,1,0,39,874,0.4267578125,N,Apple,iPhone4s,Gen1,iOS4,S4,16GB,N,Y,red,0.0216645009697815,0.590359394,0,8,0.0136752136752137,NoPromo,N
200606,308,56,M,2,13,64.0,4096,110.56,129.74,342,77,22,1,0,31,165,0.040283203125,N,HTC,Desire500,Gen3,Bada,S5,8GB,N,Y,red,0.0154654153070133,0.518515331,0,9,0.0263157894736842,NoPromo,N
792794,352,54,F,2,11,94.2,6144,98.66,106.57,309,64,15,2,0,42,586,0.0953776041666667,N,Motorola,MotoX,Gen3,Froyo,S4,64GB,N,Y,black,0.0232721303863431,0.504723331,0,10,0.0323624595469256,Promo,Y
134503,612,38,F,1,9,47.5,2048,93.86,105.92,695,68,35,2,0,18,940,0.458984375,Y,Samsung,Galaxy,Gen2,KitKat,S7,32GB,N,Y,green,0.0072391728399379,0.7603546409999999,0,12,0.0172661870503597,NoPromo,N
490233,417,44,M,1,8,98.2,2048,51.14,53.65,607,91,31,2,0,27,1157,0.56494140625,N,Apple,iPhone4s,Gen7,iOS4,S2,16GB,N,Y,green,0.0246958191413872,0.20612906399999997,0,9,0.014827018121911001,NoPromo,N
444448,475,45,M,1,12,65.4,2048,92.62,107.32,558,81,31,2,0,31,1620,0.791015625,N,Apple,iPhone4s,Gen5,iOS4,S2,32GB,Y,N,gold,0.0257763169127366,0.570390095,0,7,0.0125448028673835,NoPromo,N
774125,705,36,F,1,8,12.4,2048,102.86,118.86,509,99,27,2,0,35,545,0.26611328125,N,Samsung,Galaxy,Gen1,KitKat,S2,32GB,Y,Y,red,0.0132523640050618,0.37397117799999996,0,10,0.0196463654223969,NoPromo,N
272365,435,32,F,1,7,80.4,6144,105.41,118.49,414,77,22,2,0,33,138,0.0224609375,N,Motorola,DroidMaxx,Gen5,Honeycomb,S6,32GB,Y,N,silver,0.0168044456533144,0.739349272,0,9,0.0217391304347826,NoPromo,N
444826,309,48,F,0,9,87.6,6144,38.96,46.52,470,63,27,1,0,34,676,0.11002604166666699,N,Motorola,RazrM,Gen2,KitKat,S1,32GB,Y,N,white,0.0212706460871373,0.494816793,0,13,0.0276595744680851,Promo,Y
115329,732,28,M,1,11,73.3,6144,137.67,147.61,595,67,37,1,0,30,158,0.0257161458333333,N,Apple,iPhone3G,Gen2,iOS6,S2,16GB,Y,Y,white,0.0214772109861313,0.480705402,0,9,0.0151260504201681,NoPromo,N
148486,419,22,M,0,6,56.9,6144,122.77,138.14,407,67,21,1,0,35,313,0.0509440104166667,N,Apple,iPhone4,Gen3,iOS5,S5,8GB,N,Y,black,0.0223114578270746,0.82300172,0,9,0.0221130221130221,Promo,N
675026,347,47,F,1,12,47.0,2048,128.57,133.74,400,75,21,1,0,27,598,0.2919921875,N,Motorola,RazrM,Gen1,KitKat,S7,16GB,Y,Y,silver,0.0171013604358651,0.771366181,0,11,0.0275,Promo,N
277582,612,40,M,0,10,56.1,4096,100.26,113.44,534,70,27,2,0,44,1339,0.326904296875,N,HTC,Desire500,Gen6,Bada,S3,16GB,Y,N,black,0.0132744386875459,0.7603546409999999,0,13,0.0243445692883895,NoPromo,N
120514,602,48,M,2,10,59.5,6144,74.52,82.32,528,22,27,1,0,22,794,0.129231770833333,Y,Apple,iPhone4s,Gen3,iOS4,S3,16GB,Y,Y,white,0.0257312878642035,0.83990507,0,6,0.0113636363636364,NoPromo,N
170275,564,36,M,0,11,90.6,2048,108.74,117.71,409,110,29,1,0,19,1139,0.55615234375,Y,HTC,Desire601,Gen1,Honeycomb,S4,8GB,N,Y,white,0.0127886674944387,0.549088394,0,8,0.019559902200488997,Promo,N
187187,314,44,M,1,10,93.0,4096,101.12,108.77,358,60,18,1,0,30,894,0.21826171875,N,Motorola,RazrM,Gen6,KitKat,S3,8GB,Y,Y,silver,0.014617283448146001,0.6952925190000001,0,14,0.0391061452513966,NoPromo,Y
837617,254,45,F,4,9,47.1,6144,69.06,84.16,450,75,27,1,0,35,0,0.0,N,Samsung,GalaxyS0,Gen2,JellyBean,S2,64GB,Y,Y,black,0.0104932132125778,0.595898673,0,10,0.0222222222222222,NoPromo,N
3651,705,38,M,0,11,53.2,2048,110.06,123.14,528,73,27,1,0,25,1162,0.5673828125,N,Motorola,RazrM,Gen2,KitKat,S5,8GB,Y,Y,white,0.0152146751178284,0.37397117799999996,0,10,0.0189393939393939,NoPromo,N
788090,252,40,F,0,10,77.9,4096,124.34,129.66,429,48,23,1,0,11,513,0.125244140625,Y,Samsung,GalaxyS4,Gen5,Froyo,S7,32GB,Y,Y,silver,0.005128907103710971,0.465253994,0,6,0.013986013986014,Promo,N
960071,702,51,M,3,9,74.6,6144,160.63,171.15,436,49,26,2,1,20,1525,0.248209635416667,Y,HTC,Desire700,Gen2,Gingerbread,S4,16GB,Y,Y,red,0.0112057710218504,0.5766812729999999,0,9,0.0206422018348624,NoPromo,N
175256,818,55,M,1,10,61.3,4096,39.72,53.26,450,21,26,2,0,17,681,0.166259765625,Y,Apple,iPhone4s,Gen1,iOS4,S1,16GB,N,N,gold,0.0266391357889785,0.8077399609999999,0,7,0.0155555555555556,NoPromo,N
431954,314,46,F,0,11,87.9,4096,115.99,131.65,429,79,21,1,0,34,1315,0.321044921875,N,Samsung,Galaxy,Gen1,KitKat,S3,16GB,Y,Y,gold,0.0109556714683646,0.6952925190000001,0,11,0.0256410256410256,NoPromo,N
931354,352,49,F,1,12,57.0,6144,45.83,51.42,446,86,25,1,0,22,1427,0.232259114583333,Y,HTC,Desire500,Gen2,Bada,S7,32GB,Y,Y,white,0.00899861673854725,0.504723331,0,4,0.00896860986547085,Promo,N
225731,417,41,F,0,9,65.3,4096,116.25,123.62,438,40,22,2,0,19,1564,0.3818359375,Y,Motorola,RazrM,Gen1,KitKat,S2,8GB,Y,Y,white,0.0215072462962018,0.20612906399999997,0,12,0.0273972602739726,NoPromo,N
529805,313,28,M,3,9,94.4,4096,51.47,52.37,660,37,42,1,0,30,761,0.185791015625,N,Apple,iPhone3G,Gen4,iOS6,S5,64GB,Y,Y,silver,0.0177307051701464,0.467185722,0,11,0.0166666666666667,NoPromo,N
389543,636,31,F,1,10,69.7,2048,108.04,118.8,613,128,34,1,0,23,1174,0.5732421875,Y,Samsung,GalaxyS0,Gen1,JellyBean,S3,8GB,N,N,white,0.0126940727545609,0.180675803,0,8,0.0130505709624796,NoPromo,N
681631,757,50,M,1,13,64.5,4096,102.8,115.05,403,59,20,2,0,26,338,0.08251953125,N,Samsung,Galaxy,Gen1,KitKat,S2,64GB,N,Y,green,0.0143131396451026,0.753356481,0,9,0.0223325062034739,NoPromo,N
38282,518,44,F,0,9,50.8,4096,112.12,119.68,477,62,24,1,0,35,400,0.09765625,N,Apple,iPhone3G,Gen1,iOS6,S2,64GB,N,Y,gold,0.0249315909609829,0.531512605,0,8,0.0167714884696017,NoPromo,N
755553,303,36,F,1,12,95.7,2048,87.19,92.34,592,60,31,1,0,42,416,0.203125,N,Motorola,MotoG,Gen1,Gingerbread,S3,8GB,N,Y,silver,0.0145712177882126,0.688403005,0,11,0.0185810810810811,NoPromo,N
743702,803,17,F,2,11,56.1,2048,54.42,62.55,576,62,29,1,0,39,214,0.1044921875,N,Motorola,DroidMini,Gen6,JellyBean,S8,32GB,N,Y,white,0.0133396419155235,0.600171687,0,9,0.015625,Promo,N
217272,407,58,M,0,10,75.0,2048,101.54,100.17,544,113,28,1,1,36,237,0.11572265625,N,Samsung,GalaxyS0,Gen6,JellyBean,S9,16GB,Y,Y,gold,0.00618422756189086,0.740149873,0,11,0.0202205882352941,NoPromo,N
883925,563,39,M,2,6,93.4,2048,131.93,147.18,413,61,23,2,0,24,1851,0.90380859375,N,HTC,Butterfly,Gen2,JellyBean,S6,32GB,Y,N,silver,0.0135030241005358,0.303557093,0,12,0.0290556900726392,NoPromo,N
686299,507,43,F,1,9,64.0,4096,126.22,138.43,436,88,22,2,0,11,859,0.209716796875,Y,Apple,iPhone3G,Gen4,iOS6,S2,16GB,Y,N,white,0.0262715693590163,0.676293785,0,8,0.018348623853211003,NoPromo,N
239143,414,46,M,2,9,65.6,4096,104.22,117.27,573,36,29,2,0,40,1300,0.3173828125,N,Apple,iPhone4,Gen6,iOS5,S7,32GB,N,N,white,0.0198906224209987,0.649688725,0,9,0.0157068062827225,NoPromo,N
845228,623,42,F,1,11,42.1,2048,70.69,74.87,446,76,25,1,0,41,1222,0.5966796875,N,Motorola,DroidUltra,Gen1,IceCreamSandwich,S5,8GB,N,Y,green,0.0169681531783012,0.666347695,0,7,0.015695067264574,NoPromo,N
38606,205,48,F,1,9,94.2,4096,161.79,169.38,523,66,30,1,0,35,285,0.069580078125,N,Apple,iPhone3G,Gen5,iOS6,S5,8GB,Y,Y,silver,0.0161968976019669,0.6453962520000001,0,11,0.0210325047801147,NoPromo,N
251767,585,40,M,1,8,58.2,2048,83.74,96.28,504,85,26,3,0,35,1159,0.56591796875,N,Motorola,RazrM,Gen2,KitKat,S1,16GB,N,Y,silver,0.0150525611137289,0.72866274,0,7,0.0138888888888889,NoPromo,N
402421,347,27,F,2,8,86.1,2048,112.75,123.41,264,69,30,1,0,31,528,0.2578125,N,Apple,iPhone3G,Gen7,iOS6,S6,32GB,Y,N,gold,0.0260222854541485,0.771366181,0,11,0.0416666666666667,Promo,Y
366585,417,50,F,2,5,74.1,2048,92.84,100.59,461,89,25,1,0,10,768,0.375,Y,Samsung,GalaxyS0,Gen1,JellyBean,S4,8GB,Y,Y,gold,0.0112940965325397,0.20612906399999997,0,9,0.0195227765726681,NoPromo,N
750705,627,58,F,1,10,77.7,4096,128.24,138.32,432,118,22,1,0,30,1107,0.270263671875,N,HTC,Desire500,Gen1,Bada,S1,16GB,Y,Y,silver,0.0127955337114912,0.7022373940000001,0,11,0.025462962962963,NoPromo,N
205278,607,40,M,2,9,59.9,2048,88.95,104.88,452,48,23,1,0,23,1111,0.54248046875,Y,Apple,iPhone4,Gen1,iOS5,S4,16GB,N,Y,green,0.0219791319383609,0.7140736990000001,0,9,0.0199115044247788,Promo,N
980934,419,50,F,2,5,70.4,4096,104.24,111.0,610,86,32,1,0,24,639,0.156005859375,N,Samsung,Galaxy,Gen6,KitKat,S5,32GB,N,Y,red,0.00635021153401722,0.82300172,0,11,0.0180327868852459,Promo,N
350004,309,54,F,0,12,89.2,2048,132.73,143.23,585,42,29,1,1,28,979,0.47802734375,N,Motorola,DroidUltra,Gen3,IceCreamSandwich,S7,32GB,N,Y,silver,0.0211221699700944,0.494816793,0,11,0.0188034188034188,Promo,N
752743,817,35,M,1,14,52.9,6144,110.94,123.26,557,57,33,2,0,23,257,0.0418294270833333,Y,Motorola,DroidMaxx,Gen1,Honeycomb,S4,32GB,Y,Y,gold,0.0197460252346039,0.45787048399999997,0,8,0.0143626570915619,NoPromo,N
35331,567,49,F,1,7,71.0,6144,114.93,126.73,504,65,31,1,0,21,1059,0.17236328125,Y,Apple,iPhone3G,Gen2,iOS6,S1,32GB,Y,Y,green,0.0190168922989248,0.699822899,0,7,0.0138888888888889,NoPromo,N
847461,202,40,M,1,10,61.0,2048,86.11,98.31,472,85,26,1,0,14,963,0.47021484375,Y,Apple,iPhone3G,Gen6,iOS6,S5,16GB,N,Y,gold,0.0163873805873374,0.68596116,0,12,0.0254237288135593,Promo,N
312852,562,28,F,0,9,89.8,4096,122.6,138.24,321,88,18,1,0,18,110,0.02685546875,Y,Apple,iPhone3G,Gen7,iOS6,S8,32GB,N,N,black,0.0256444088386974,0.696959938,0,13,0.0404984423676012,NoPromo,N
115036,863,56,M,0,11,74.6,4096,166.74,181.59,538,86,46,3,0,37,1073,0.261962890625,N,Samsung,Galaxy,Gen6,KitKat,S7,8GB,N,Y,green,0.00774946541519262,0.469283276,0,12,0.0223048327137546,Promo,N
324186,806,30,M,2,12,52.6,4096,92.01,102.84,490,91,24,1,0,24,370,0.09033203125,N,Samsung,Galaxy,Gen1,KitKat,S7,16GB,N,Y,green,0.00974354132524907,0.563376754,0,6,0.0122448979591837,NoPromo,N
508568,612,45,F,1,9,71.5,2048,87.28,95.81,454,101,24,2,0,37,910,0.4443359375,N,Apple,iPhone5,Gen2,iOS3,S2,32GB,N,Y,black,0.0188979550702521,0.7603546409999999,0,12,0.026431718061674,NoPromo,N
561259,612,42,F,2,11,81.3,4096,110.7,123.61,524,78,43,2,0,35,0,0.0,N,Samsung,GalaxyS2,Gen2,Honeycomb,S3,8GB,Y,Y,black,0.0072529625650111906,0.7603546409999999,0,10,0.0190839694656489,NoPromo,N
507662,818,28,M,1,10,81.2,6144,52.51,61.94,538,63,27,1,0,18,585,0.09521484375,Y,Motorola,DroidMini,Gen6,JellyBean,S2,16GB,Y,Y,black,0.0168241371211963,0.8077399609999999,0,13,0.0241635687732342,NoPromo,N
864377,605,16,F,1,6,107.1,4096,146.46,157.38,482,83,26,1,0,21,653,0.159423828125,Y,Apple,iPhone4s,Gen1,iOS4,S5,8GB,Y,Y,red,0.0200381136327467,0.71239533,0,10,0.020746887966805,NoPromo,N
367914,417,46,M,2,7,46.0,4096,94.36,103.94,435,85,23,1,0,14,959,0.234130859375,Y,Motorola,MotoG,Gen1,Gingerbread,S1,16GB,N,Y,silver,0.0163216841759724,0.20612906399999997,0,9,0.0206896551724138,NoPromo,N
882062,715,54,M,2,10,43.5,4096,110.24,115.04,611,29,46,1,0,22,143,0.034912109375,Y,Apple,iPhone3G,Gen8,iOS6,S1,32GB,Y,Y,red,0.0207137254833204,0.47630560899999996,0,10,0.016366612111293,Promo,N
361748,865,56,F,2,11,67.4,4096,68.19,73.62,588,90,36,2,0,41,0,0.0,N,Motorola,DroidMini,Gen2,JellyBean,S2,8GB,Y,Y,black,0.0182227375877674,0.52729759,0,7,0.0119047619047619,NoPromo,N
791383,309,35,M,1,11,90.8,4096,81.95,94.39,520,62,28,2,0,27,860,0.2099609375,N,Apple,iPhone4,Gen3,iOS5,S1,16GB,Y,N,gold,0.0300647416660119,0.494816793,0,12,0.0230769230769231,Promo,Y
359442,305,56,F,1,7,84.4,4096,115.39,122.14,402,58,23,1,0,25,0,0.0,N,Motorola,RazrM,Gen1,KitKat,S2,16GB,N,Y,black,0.0208877966798405,0.72642769,0,12,0.0298507462686567,NoPromo,Y
