custid,dropperc,mins,consecmonths,age,income,churn_Y,prob
99579,0.0238095238095238,504,38,34,77.8,1,0.3409294200309765
702464,0.0223048327137546,538,32,40,86.4,0,0.03805722253840042
873682,0.0319148936170213,282,20,39,90.5,0,5.92105799909769e-05
379826,0.0159651669085631,689,29,46,90.5,0,0.008220720121216153
735337,0.0321361058601134,529,44,45,69.7,0,0.7057918800617011
931548,0.0142566191446029,491,32,32,36.3,0,0.0008399478685814874
54918,0.0174757281553398,515,17,48,61.5,0,0.0001410512659170639
655089,0.0118811881188119,505,28,37,72.6,0,0.00059393097002009
450972,0.011686143572621,599,24,36,80.8,0,0.001210436607311034
433315,0.0128440366972477,545,22,41,96.0,0,0.0002629160635794395
854319,0.0183066361556064,437,21,38,78.8,0,0.00018676952840017175
444703,0.03603603603603602,333,22,47,73.2,0,6.109858194187119e-05
256550,0.0136752136752137,585,39,36,77.4,0,0.001405729615954738
200606,0.0263157894736842,342,31,56,64.0,0,0.005378556813449906
792794,0.0323624595469256,309,42,54,94.2,1,0.29477591675621295
134503,0.0172661870503597,695,18,38,47.5,0,0.0002043130935739438
490233,0.014827018121911001,607,27,44,98.2,0,0.008594588975307065
444448,0.0125448028673835,558,31,45,65.4,0,0.0006669117397165807
774125,0.0196463654223969,509,35,36,12.4,0,0.0014286394144875883
272365,0.0217391304347826,414,33,32,80.4,0,0.02352776459259915
444826,0.0276595744680851,470,34,48,87.6,1,0.349654623836102
115329,0.0151260504201681,595,30,28,73.3,0,0.004060404325615735
148486,0.0221130221130221,407,35,22,56.9,0,0.018448889487378328
675026,0.0275,400,27,47,47.0,0,0.04431022430101857
277582,0.0243445692883895,534,44,40,56.1,0,0.04978024001249517
120514,0.0113636363636364,528,22,48,59.5,0,0.00012676626831527438
170275,0.019559902200488997,409,19,36,90.6,0,0.0003610220497658736
187187,0.0391061452513966,358,30,44,93.0,1,0.7471302529934173
837617,0.0222222222222222,450,35,45,47.1,0,0.0032455128095900333
3651,0.0189393939393939,528,25,38,53.2,0,0.0010830640641677164
788090,0.013986013986014,429,11,40,77.9,0,0.0006766260669884755
960071,0.0206422018348624,436,20,51,74.6,0,0.00022810090753386714
175256,0.0155555555555556,450,17,55,61.3,0,0.0001587865807630649
431954,0.0256410256410256,429,34,46,87.9,0,0.11918944730039026
931354,0.00896860986547085,446,22,49,57.0,0,0.00018167607317156324
225731,0.0273972602739726,438,19,41,65.3,0,0.00021392586160223073
529805,0.0166666666666667,660,30,28,94.4,0,0.010134856072500595
389543,0.0130505709624796,613,23,31,69.7,0,0.00020321922436641115
681631,0.0223325062034739,403,26,50,64.5,0,0.008570963690605143
38282,0.0167714884696017,477,35,44,50.8,0,0.0009694917469010249
755553,0.0185810810810811,592,42,36,95.7,0,0.018514387544190176
217272,0.0202205882352941,544,36,58,75.0,0,0.006329175588207736
883925,0.0290556900726392,413,24,39,93.4,0,0.24797331520721816
686299,0.018348623853211003,436,11,43,64.0,0,0.00015685228991458943
239143,0.0157068062827225,573,40,46,65.6,0,0.004405900180340391
845228,0.015695067264574,446,41,42,42.1,0,0.0009376877657973458
38606,0.0210325047801147,523,35,48,94.2,0,0.029236410309596363
251767,0.0138888888888889,504,35,40,58.2,0,0.002961148809394419
402421,0.0416666666666667,264,31,27,86.1,1,0.8932283480201103
366585,0.0195227765726681,461,10,50,74.1,0,0.00015636924531854953
750705,0.025462962962963,432,30,58,77.7,0,0.054045437421872615
205278,0.0199115044247788,452,23,40,59.9,0,0.00021294000794360685
980934,0.0180327868852459,610,24,50,70.4,0,0.003198791659865083
350004,0.0188034188034188,585,28,54,89.2,0,0.005954800700276227
752743,0.0143626570915619,557,23,35,52.9,0,0.00016752436338264608
35331,0.0138888888888889,504,21,49,71.0,0,0.0007392280704862258
847461,0.0254237288135593,472,14,40,61.0,0,0.00028434936890310645
312852,0.0404984423676012,321,18,28,89.8,0,0.00018344920439100046
115036,0.0223048327137546,538,37,56,74.6,0,0.01732410597429303
324186,0.0122448979591837,490,24,30,52.6,0,0.00031743321637323253
508568,0.026431718061674,454,37,45,71.5,0,0.1762376501697866
561259,0.0190839694656489,524,35,42,81.3,0,0.004339453302544384
507662,0.0241635687732342,538,18,28,81.2,0,0.001384317809695033
367914,0.0206896551724138,435,14,46,46.0,0,0.00012446344696641
882062,0.016366612111293,611,22,54,43.5,0,0.00012740727977279497
361748,0.0119047619047619,588,41,56,67.4,0,0.0004941225945611279
791383,0.0230769230769231,520,27,35,90.8,1,0.1597664723293751
359442,0.0298507462686567,402,25,56,84.4,1,0.2880548325060703
117110,0.0175879396984925,398,19,37,70.3,0,0.0001648489956196391
581468,0.0146252285191956,547,43,38,83.9,0,0.00483659347030478
519609,0.0146443514644351,478,16,40,35.8,0,8.501579622706724e-05
399473,0.0148809523809524,672,21,39,51.7,0,0.0002043130935739438
456826,0.020703933747411998,483,31,39,69.1,0,0.011091764519274542
899093,0.0188034188034188,585,31,45,56.5,0,0.0029247075658681023
433140,0.028169014084507005,355,28,46,32.6,0,0.011344188153553496
981797,0.0072202166064982,554,19,48,47.5,0,6.532904872900343e-05
835501,0.0153846153846154,585,24,38,82.3,0,0.005762779200605413
602693,0.0162454873646209,554,20,26,97.4,0,0.00010515224875564792
161441,0.0165745856353591,543,31,53,61.3,0,0.0020159476901199
471419,0.0211946050096339,519,28,44,77.4,0,0.017638129664240398
929943,0.0134099616858238,522,31,38,65.0,0,0.0005881839967008145
901118,0.0153550863723608,521,33,39,62.2,0,0.0028780875321861112
764298,0.0349794238683128,486,20,30,70.3,0,0.0001527469443564934
511811,0.0321543408360129,311,20,45,53.9,0,3.193308769576563e-05
724567,0.0231362467866324,389,38,26,19.9,0,0.02472506544327841
799449,0.0174672489082969,458,20,39,120.8,0,0.00010047217772755684
584669,0.0191204588910134,523,16,22,77.0,0,6.21507836783221e-05
360776,0.009508716323296359,631,23,34,85.4,0,0.0002461744537785129
178666,0.0196078431372549,459,29,47,52.0,0,0.001626376196822933
511446,0.0157303370786517,445,25,38,61.3,0,0.0024605295303785253
515896,0.0177619893428064,563,38,43,67.4,0,0.004405900180340391
264697,0.0189035916824197,529,37,29,98.9,0,0.0074821804085690325
546494,0.0149625935162095,401,29,39,82.4,0,0.0031610823289194966
390435,0.0195694716242661,511,28,37,85.8,0,0.013025956369700793
318302,0.0230414746543779,434,28,39,67.0,0,0.025769590608099392
479708,0.0197530864197531,405,23,37,82.2,0,0.0003663865309611145
664327,0.0284463894967177,457,14,51,27.9,0,6.36953524434842e-05
931368,0.0281995661605206,461,20,40,76.2,0,0.00012500216111679873
682173,0.0199637023593466,551,20,18,71.8,0,0.00043029580600630925
158093,0.013136288998358,609,30,46,84.7,0,0.0010980435366172005
456640,0.0218978102189781,411,26,49,51.1,0,0.0024192238258095326
947814,0.0364077669902913,412,20,48,60.3,0,9.595570182020441e-05
154975,0.0250569476082005,439,34,30,64.6,0,0.058784977630480004
358631,0.0125,640,15,27,58.9,0,5.7372937443411043e-05
875885,0.0198511166253102,403,9,53,38.9,0,0.00010468586825558544
552977,0.01620029455081,679,31,55,69.1,0,0.0017143095470549502
326748,0.0415512465373961,361,28,24,87.1,1,0.937175964009639
77488,0.0161550888529887,619,38,59,90.4,0,0.003357633138810923
208037,0.0182232346241458,439,22,36,71.6,0,0.00013570859183125797
814420,0.0274599542334096,437,27,38,40.3,0,0.08875309221862253
212486,0.0194931773879142,513,14,36,62.1,0,0.00022622335720996436
922628,0.014827018121911001,607,17,55,65.1,0,0.00019509516834389725
586472,0.019438444924406002,463,35,51,53.7,0,0.0019671689795815275
473475,0.0332225913621262,301,25,38,67.6,0,0.23362942867379077
324314,0.018000000000000002,500,27,58,66.0,0,0.0012685064096857267
840797,0.026378896882494,417,37,41,61.7,0,0.12597131553665783
560152,0.0155210643015521,451,19,23,110.8,0,3.295363376920864e-05
949534,0.0188034188034188,585,35,27,55.2,0,0.00036891546717810294
651029,0.02734375,512,29,35,71.8,1,0.4997662857841325
137903,0.009273570324574959,647,22,42,78.0,0,0.00022848202969516805
170165,0.0280373831775701,428,32,40,66.5,0,0.28108212555660916
311673,0.0196078431372549,510,23,51,61.9,0,0.00019545966232457446
661201,0.00509337860780985,589,28,41,71.8,0,0.0008145017947547104
205145,0.0213464696223317,609,26,42,100.6,1,0.1433007807421544
974346,0.0287081339712919,418,28,35,85.5,0,0.3637847629774953
216121,0.0121527777777778,576,20,57,74.3,0,6.0366179124339945e-05
630076,0.0214424951267057,513,34,49,114.8,0,0.05977135220895079
151932,0.0316622691292876,379,23,50,41.7,0,5.511011234383936e-05
303176,0.0285087719298246,456,36,33,70.7,1,0.5301929130737167
887524,0.0132547864506627,679,24,44,85.0,0,0.0010980435366172005
794130,0.0156918687589158,701,23,23,75.0,0,8.472176191983203e-05
945727,0.032520325203252,369,24,57,62.8,0,0.145188641764105
656323,0.0164744645799012,607,21,44,66.0,0,0.0002732958132359645
41051,0.01417004048583,494,29,56,62.5,0,0.001481786194414028
142181,0.0199667221297837,601,28,36,57.3,0,0.008682370112152686
890763,0.0155367231638418,708,23,41,85.7,0,0.00032541569116606813
808458,0.0143112701252236,559,31,37,91.5,0,0.0073650803304599124
968705,0.0225806451612903,620,24,32,66.3,0,0.0873935606632067
723232,0.0185185185185185,540,30,45,55.9,0,0.0009703412254215123
616673,0.0165441176470588,544,24,49,31.2,0,0.00046977370363043424
13083,0.0240700218818381,457,18,40,88.1,0,0.00041584465655557034
434742,0.0244399185336049,491,39,42,56.8,0,0.07420524219064521
672745,0.0188034188034188,585,36,41,83.5,0,0.009731821933995959
180048,0.0134907251264755,593,31,56,58.0,0,0.00017494329652949846
345204,0.0153061224489796,588,18,47,83.6,0,0.00024297439748297424
967781,0.0250481695568401,519,8,41,70.7,0,0.0011931513379264695
195804,0.0160427807486631,374,25,53,40.7,0,0.0004465091893120946
787418,0.0189075630252101,476,23,33,94.2,0,0.00018729342834939566
841507,0.0200445434298441,449,28,60,75.7,0,0.0018810931552249131
160030,0.0240740740740741,540,30,24,53.9,0,0.04964474282680526
274975,0.0207006369426752,628,28,36,83.6,0,0.10591805282005448
443079,0.0231362467866324,389,42,40,62.0,0,0.050313529531867233
990478,0.0169491525423729,472,21,63,75.1,0,0.00014723470060583872
631844,0.0156521739130435,575,30,39,55.9,0,0.0011001639605416422
442625,0.0240963855421687,415,35,48,53.5,0,0.007374256679100383
668487,0.0203327171903882,541,29,44,57.7,0,0.01032383410651976
546798,0.0159680638722555,501,38,51,90.0,0,0.006341433361214588
301843,0.0242290748898678,454,19,37,54.4,0,0.00017390857547875394
887693,0.0139165009940358,503,28,37,85.2,0,0.005465996855193979
584597,0.0174216027874564,574,6,59,58.0,0,0.0001444073272439689
686480,0.0153846153846154,520,31,44,39.4,0,0.0008764664587774905
961050,0.0201612903225806,496,38,54,54.6,0,0.0036841681625743995
105404,0.0173745173745174,518,30,37,73.9,0,0.0029061434210791762
484464,0.0201342281879195,447,28,52,63.2,0,0.013649691684538242
578969,0.0164319248826291,426,27,66,80.6,0,0.001207312454737773
401246,0.0077922077922077905,385,23,58,62.4,0,0.00010144119907512307
894866,0.0183333333333333,600,22,36,73.6,0,0.00026506458589092434
325548,0.0124555160142349,562,29,52,56.2,0,0.00020011642060858452
431868,0.0205371248025276,633,28,47,50.2,0,0.00989290499346527
862028,0.0132013201320132,606,31,45,86.5,0,0.0010668351621587894
466010,0.0354838709677419,310,34,31,55.5,0,0.14301675734699534
692512,0.0318906605922551,439,18,44,63.2,0,0.0001390896350157916
796539,0.0196850393700787,508,33,49,83.8,0,0.008077792924685565
459404,0.0267639902676399,411,21,56,68.8,0,0.0003859557157049198
58525,0.0142566191446029,491,30,47,96.5,0,0.005946271350522531
586905,0.0192307692307692,520,25,38,58.1,0,0.004960584374731203
597819,0.0238726790450928,377,38,35,41.9,0,0.008620587124844379
854173,0.0169491525423729,590,38,29,51.9,0,0.003056641604921924
888881,0.0238663484486874,419,18,37,93.9,0,0.0006797204737787271
577988,0.0206766917293233,532,43,41,55.6,0,0.00809045033649517
632587,0.0112179487179487,624,26,49,95.4,0,0.0012259761147764257
584788,0.0073260073260073295,546,24,52,61.9,0,0.0004247791736076978
910747,0.0196936542669584,457,11,36,85.9,0,0.00027298337230570544
676132,0.0251889168765743,397,22,27,106.3,0,0.0008616983152319281
62249,0.0366666666666667,300,27,56,68.7,0,0.16854952276048224
387770,0.0242424242424242,495,21,54,20.0,0,0.0001653840419269043
483923,0.0292207792207792,308,26,52,59.7,0,0.04137194390257186
808483,0.0220385674931129,363,18,39,79.0,0,0.0004150744600127233
506630,0.0246305418719212,406,28,37,61.8,0,0.026340991943178054
142550,0.011965811965812,585,33,40,57.4,0,0.0005559909170992721
215753,0.0204841713221601,537,34,30,105.2,0,0.11128098535539833
335189,0.0140350877192982,570,40,44,87.9,0,0.008835558491047064
361700,0.0147299509001637,611,36,36,71.6,0,0.007367943509232818
872987,0.0238532110091743,545,32,40,78.4,0,0.1347138400885542
187570,0.0273684210526316,475,18,51,39.1,0,0.00015634977237787595
704872,0.0252873563218391,435,38,39,69.4,0,0.17446365607668785
950793,0.0181086519114688,497,18,53,47.2,0,6.93162122554685e-05
909147,0.0139275766016713,718,36,20,59.6,0,0.0026889079861805373
892814,0.0125223613595707,559,28,51,84.0,0,0.0006910836953511692
105677,0.0169811320754717,530,35,38,50.8,0,0.001167484407980841
467235,0.023094688221709,433,35,42,46.1,0,0.007610417052768172
715291,0.0198300283286119,353,36,51,77.8,0,0.004078020763670525
871712,0.0232558139534884,473,26,42,60.7,0,0.02392175829906259
278,0.031700288184438,347,26,53,82.9,0,0.08738930456451466
125848,0.0130151843817787,461,23,56,85.8,0,0.00012862992236166088
628364,0.0176848874598071,622,15,32,55.6,0,0.00017901519138139826
115873,0.0229276895943563,567,34,51,46.4,0,0.01125962028445643
166766,0.0225563909774436,665,35,30,90.5,0,0.2161404010252936
836964,0.0170940170940171,585,34,37,41.7,0,0.0019662565514369616
385653,0.0122511485451761,653,24,49,72.9,0,0.0006082300902041231
266389,0.0138888888888889,648,19,34,80.6,0,0.0016956422665414526
594223,0.0161812297734628,618,34,41,82.8,0,0.006266044795371743
973714,0.0204081632653061,441,12,46,76.6,0,0.0002517037696877731
523178,0.027431421446384,401,29,47,40.1,0,0.04247314672164896
752209,0.0285087719298246,456,36,22,85.3,1,0.7964794636497228
981090,0.0205949656750572,437,44,37,76.9,0,0.014931548762190331
930285,0.0136798905608755,731,31,33,62.8,0,0.0007726011502626885
240778,0.013953488372093002,430,35,46,44.8,0,0.0022477964184444282
242717,0.0145867098865478,617,28,46,86.6,0,0.005762779200605413
104311,0.016260162601626,492,33,19,62.0,0,0.0004913449492704626
675470,0.0235294117647059,510,22,47,124.4,0,0.001468469418098586
873006,0.0271844660194175,515,27,45,80.2,0,0.27983621046583707
718124,0.0282051282051282,390,29,47,92.6,0,0.13749590282920898
15877,0.0156794425087108,574,29,41,50.1,0,0.0010228144620686665
826132,0.0198412698412698,504,26,36,77.0,0,0.008544759070611056
406769,0.0160183066361556,437,1,38,59.0,0,0.00015974571462218753
860881,0.0237388724035608,337,22,32,87.9,0,0.00012083772654725175
951016,0.0101522842639594,591,33,27,77.8,0,0.0002634145922827567
966092,0.0210772833723653,427,22,44,72.2,0,0.00036408336155186464
836841,0.0175131348511384,571,31,42,78.0,0,0.004059389917046884
605059,0.0127931769722814,469,27,68,75.3,0,0.00025092731902187995
175115,0.0221238938053097,452,31,36,70.8,0,0.011681569589155094
508494,0.0132075471698113,530,39,39,47.2,0,0.0003093950112126551
607562,0.0248306997742664,443,42,36,75.4,0,0.07667960034907624
639466,0.0199203187250996,502,37,45,78.0,0,0.012802656513460074
880605,0.0262172284644195,267,20,29,73.9,0,0.00012318392393198326
731870,0.0318021201413428,283,30,46,64.3,0,0.07999019283844751
373069,0.0209643605870021,477,21,28,85.3,0,0.00036761265694515904
539395,0.0202578268876611,543,42,33,71.3,0,0.0329820788065455
830033,0.0183823529411765,544,20,38,53.7,0,0.0001189285723614173
148999,0.012396694214876,484,32,22,72.3,0,0.00014449044804335737
599116,0.0186567164179104,536,34,50,56.6,0,0.0016920873638635952
845325,0.0163934426229508,549,36,36,126.9,0,0.008954139184394912
661530,0.0169230769230769,650,19,27,56.4,0,7.546737159844193e-05
801124,0.0296495956873315,371,24,43,106.2,0,0.2334918769201947
165761,0.0303030303030303,462,26,31,61.9,1,0.6961448851330683
772643,0.0238095238095238,462,46,40,86.4,0,0.09574589687846936
922963,0.0149892933618844,467,25,25,46.4,0,0.00020434209655512795
596228,0.0202839756592292,493,24,45,77.0,0,0.011412883924105034
946759,0.0232142857142857,560,26,56,49.3,0,0.004446309501549936
607228,0.018000000000000002,500,42,33,44.2,0,0.000902373269034117
697662,0.0170777988614801,527,17,32,64.4,0,0.00018477072189781207
579262,0.052863436123348,227,28,33,49.8,1,0.9847290835952276
821895,0.0168453292496172,653,26,40,100.3,0,0.0037261994362072616
45560,0.0457746478873239,284,29,33,68.5,1,0.9341416902349535
282091,0.0206185567010309,485,36,35,94.4,0,0.03911332264009064
545592,0.0168634064080944,593,24,36,99.8,0,0.004307506960490169
568698,0.0113452188006483,617,39,52,51.4,0,0.000544563695115085
986317,0.0184049079754601,489,18,25,29.3,0,2.8400593209035366e-05
142027,0.0130505709624796,613,17,34,65.3,0,0.00020152053771244657
620933,0.0275229357798165,327,27,59,60.8,0,0.008558740782699976
830792,0.0117845117845118,594,30,49,94.2,0,0.0012259761147764257
347421,0.021551724137931,464,28,30,50.2,0,0.004732704601499107
947222,0.0194690265486726,565,29,59,38.0,0,0.0007151586220108296
12005,0.0160714285714286,560,23,51,65.2,0,0.00015994039138257394
864756,0.0233812949640288,556,24,32,66.8,0,0.06922391205098001
793492,0.0200573065902579,349,23,37,96.5,0,0.00014444634649918428
524921,0.0177304964539007,564,37,37,84.1,0,0.006131001697527336
565582,0.0267489711934156,486,23,40,94.2,0,0.0005101779095409548
586443,0.0305164319248826,426,28,28,56.9,1,0.562501366076304
79189,0.0128205128205128,390,25,43,76.3,0,0.0008087756143092832
718540,0.0141843971631206,423,36,52,55.0,0,0.0022862597085909196
396630,0.0157819225251076,697,39,55,58.1,0,0.002388197670437041
939943,0.0170278637770898,646,27,24,60.8,0,0.001240962336666183
993189,0.0170132325141777,529,17,54,57.9,0,0.00013465828684456786
756181,0.0232067510548523,474,24,23,46.7,0,0.009838107610469512
794903,0.0200892857142857,448,28,50,76.2,0,0.00473511828647375
191185,0.0347593582887701,374,19,22,91.1,0,0.00037458958410522734
637665,0.0199637023593466,551,21,37,32.2,0,9.401970854146866e-05
147541,0.0246575342465753,365,26,47,106.6,0,0.045694570972991976
523717,0.020997375328083996,381,25,51,55.5,0,0.0016921450605828896
128234,0.0199203187250996,502,23,54,61.2,0,0.00016324863721767593
303500,0.0109034267912773,642,28,47,3.9,0,0.00024685174527265454
649503,0.0163132137030995,613,24,57,67.1,0,0.0017644251834975683
660753,0.0138888888888889,576,22,36,67.4,0,0.0010885413239555678
389885,0.0386904761904762,336,25,42,73.4,1,0.5386896583405687
721657,0.0203045685279188,394,17,47,64.5,0,0.00022123182611897578
243749,0.0184210526315789,380,31,43,64.8,0,0.0017794698484169039
568580,0.013953488372093002,645,24,47,73.7,0,0.00516395733708608
825412,0.0188976377952756,635,15,55,44.1,0,0.00014584822914538847
929604,0.0118811881188119,505,40,33,96.2,0,0.0018079437376094646
935961,0.00904977375565611,663,30,66,59.4,0,0.00018297928509795303
800600,0.0251889168765743,397,27,40,80.4,0,0.0460913954700557
714419,0.0197368421052632,456,24,34,125.6,0,0.02433478454926002
131555,0.0225409836065574,488,23,47,58.3,0,0.0002826033873968586
522940,0.0215827338129496,417,16,53,79.7,0,0.00042873780567059073
681922,0.0227272727272727,440,30,32,74.6,0,0.028083197191189124
45734,0.0277777777777778,324,33,52,84.6,0,0.043476149956952675
654390,0.015625,384,33,39,103.7,0,0.0014388775251643665
700981,0.0305882352941176,425,34,31,40.6,1,0.35164855684824603
435161,0.0233545647558386,471,19,48,75.1,0,0.0002402225524824962
722798,0.0509803921568627,255,18,31,73.0,0,0.0002116247641141339
741194,0.0274599542334096,437,24,40,54.1,1,0.10470910424647305
241857,0.0234986945169713,383,26,34,62.7,0,0.019445267410277196
691507,0.0121317157712305,577,31,46,65.6,0,0.0006669117397165807
433476,0.0159680638722555,501,23,31,58.8,0,0.00016786967529594865
622636,0.0306122448979592,294,29,30,46.3,0,0.03147507035226225
390638,0.0158730158730159,504,21,35,101.8,0,0.00015154160305621132
219700,0.0163204747774481,674,21,38,45.0,0,0.0002043130935739438
174588,0.0255591054313099,313,38,48,82.3,0,0.021243989227741393
168027,0.0171428571428571,525,29,54,86.6,0,0.0027959299069229117
414298,0.0161290322580645,558,23,23,55.6,0,3.475966978104347e-05
374990,0.0227272727272727,440,37,56,76.0,0,0.026930812197250364
290662,0.0198237885462555,454,17,40,71.5,0,0.00019366154063338615
340562,0.026000000000000002,500,19,56,62.9,0,0.0007331544756345746
352544,0.0176600441501104,453,25,35,40.2,0,0.0006286035149848766
55128,0.0272108843537415,441,35,48,58.7,0,0.14008462406513228
212056,0.0153508771929825,456,21,50,104.9,0,7.722034319131102e-05
920578,0.0191637630662021,574,22,36,101.6,0,0.0005015713496949929
404623,0.0210280373831776,428,32,37,114.4,0,0.03951088906279022
923356,0.0215264187866928,511,16,22,50.3,0,0.0008245245915458796
72906,0.0235294117647059,340,15,39,48.6,0,4.5011940177196383e-05
936983,0.0172043010752688,465,25,37,76.4,0,0.0021539896880388406
730978,0.026578073089701,301,24,57,98.2,0,0.0060289419158064215
876923,0.0160142348754448,562,41,43,59.5,0,0.004842464360247517
953250,0.0151843817787419,461,21,29,55.1,0,7.717668679216275e-05
399018,0.0265060240963855,415,28,42,52.6,0,0.027368647191863632
688576,0.0235081374321881,553,24,27,46.9,0,0.027775700569115627
168069,0.0267686424474187,523,24,48,63.7,0,0.19758512273810172
961977,0.0267489711934156,486,17,35,77.1,0,0.0005810027813445167
916740,0.0213219616204691,469,31,34,64.1,0,0.011681569589155094
476175,0.0219298245614035,456,26,44,58.4,0,0.00782710528063863
682289,0.0203665987780041,491,18,31,77.0,0,0.0002637167961897338
687457,0.0212314225053079,471,18,48,9.9,0,7.199272664947865e-05
597477,0.0182555780933063,493,34,49,86.8,0,0.0030762930672570835
646617,0.0147255689424364,747,15,47,52.1,0,0.00015254742979346384
108949,0.0111111111111111,630,18,47,80.2,0,0.00018472506124963338
134686,0.0310077519379845,258,31,28,77.3,0,0.1305499764604036
418357,0.0167464114832536,418,14,28,103.8,0,0.0001357837008237709
757284,0.0197841726618705,556,20,31,103.7,0,0.0008377475378707175
392050,0.0237226277372263,548,31,51,58.5,0,0.04082501786425382
269076,0.0133037694013304,451,19,40,34.7,0,8.728913831594097e-05
408855,0.0211538461538462,520,19,20,72.9,0,0.0010344870986634157
269669,0.0128755364806867,466,32,41,45.3,0,0.00034351906613356935
380061,0.0204081632653061,441,18,38,67.1,0,0.0002517037696877731
506141,0.0316622691292876,379,45,49,45.3,0,0.07272321139444766
787240,0.0108892921960073,551,47,41,116.8,0,0.0013534348325247804
83459,0.0132743362831858,678,25,32,77.9,0,0.0011273423939354888
242367,0.0223123732251521,493,31,42,70.3,0,0.011990357275997746
815874,0.0192023633677991,677,27,36,57.2,0,0.0067383682313470064
340426,0.0175718849840256,626,40,62,68.4,0,0.0017952505035575197
262437,0.0163934426229508,610,20,45,65.1,0,0.0002732958132359645
685432,0.00569259962049336,527,35,27,84.7,0,0.0002519014544851255
340051,0.0227272727272727,352,39,41,65.1,0,0.02042335893832998
280916,0.0203160270880361,443,42,22,75.1,1,0.052259358009209354
846584,0.0129151291512915,542,41,30,61.2,0,0.0007121868843928102
219931,0.007117437722419929,562,36,36,78.5,0,0.00130890394514308
537728,0.0162162162162162,555,22,38,28.8,0,6.905413016865482e-05
917972,0.0187617260787993,533,31,65,93.4,0,0.0013925755770229128
518069,0.0213333333333333,375,35,48,43.1,0,0.0014492141976334063
180169,0.0261044176706827,498,21,47,53.9,0,0.0006241603098197385
703961,0.0128617363344051,622,21,22,63.7,0,6.440859181911087e-05
818635,0.0182815356489945,547,20,34,80.7,0,0.0002238272933548633
762604,0.0273348519362187,439,21,47,47.7,0,0.00015634977237787595
258016,0.0203160270880361,443,31,37,78.1,0,0.01963576213033141
635750,0.0281124497991968,498,9,44,71.4,0,0.00017139420044778162
408596,0.0202205882352941,544,19,52,95.1,0,0.0004216378258266912
596271,0.0188679245283019,530,9,45,60.0,0,0.00020772275609230633
593441,0.0375,400,30,53,63.0,1,0.7855290337888365
42823,0.0216919739696312,461,26,40,71.6,0,0.011106171421153437
495614,0.0176767676767677,396,34,57,65.8,0,0.0013484237826750026
819538,0.017741935483871003,620,20,37,62.0,0,0.00026506458589092434
718654,0.0291479820627803,446,14,42,81.5,0,0.00014762486153855196
47569,0.0182724252491694,602,23,55,78.7,0,0.00023230497162533004
472238,0.0140597539543058,569,29,49,73.8,0,0.004051889306904849
349391,0.0225303292894281,577,13,43,63.4,0,0.0007449592921048618
259171,0.0168067226890756,476,37,43,84.8,0,0.003827500270992102
