,httpResponse,requestId,timeStamp,timingMillis,data.consecmonths,data.dropperc,data.income,data.mins,output
7904,200,5OB7X3CRN0M8SAJF,2016-01-04 18:06:23.493,0,34,0.0199,27.6,302,0.00030000000000000003
7903,200,5OB7X3CRN0M8SAJF,2016-01-04 18:48:15.798,0,25,0.02,54.7,499,0.0024
7902,200,5OB7X3CRN0M8SAJF,2016-01-04 22:37:42.380,0,24,0.017400000000000002,54.3,576,0.0017
7901,200,5OB7X3CRN0M8SAJF,2016-01-05 01:12:24.479,0,27,0.0369,112.1,379,0.8190000000000001
7900,200,5OB7X3CRN0M8SAJF,2016-01-05 06:50:08.279,0,29,0.0155,85.3,517,0.0028
7899,200,5OB7X3CRN0M8SAJF,2016-01-05 07:59:32.934,0,26,0.032,62.8,406,0.4263
7898,200,5OB7X3CRN0M8SAJF,2016-01-05 12:41:35.890,0,19,0.029,71.5,345,0.0
7897,200,5OB7X3CRN0M8SAJF,2016-01-05 13:27:21.612,0,39,0.0201,95.7,547,0.0371
7896,200,5OB7X3CRN0M8SAJF,2016-01-05 15:50:56.284,0,25,0.0171,32.7,586,0.0012
7895,200,5OB7X3CRN0M8SAJF,2016-01-06 00:31:02.209,0,32,0.0245,50.2,408,0.008700000000000001
7894,200,5OB7X3CRN0M8SAJF,2016-01-06 02:22:42.752,0,37,0.0238,67.8,547,0.1963
7893,200,5OB7X3CRN0M8SAJF,2016-01-06 10:14:16.316,0,23,0.0239,82.6,461,0.00030000000000000003
7892,200,5OB7X3CRN0M8SAJF,2016-01-06 10:22:46.156,0,12,0.0167,64.8,540,0.0001
7891,200,5OB7X3CRN0M8SAJF,2016-01-06 10:26:15.448,0,34,0.0142,70.1,776,0.0075000000000000015
7890,200,5OB7X3CRN0M8SAJF,2016-01-06 19:26:15.226,0,35,0.019200000000000002,52.8,468,0.0016
7889,200,5OB7X3CRN0M8SAJF,2016-01-07 00:54:58.662,0,31,0.0162,89.2,494,0.0059
7888,200,5OB7X3CRN0M8SAJF,2016-01-07 02:10:54.067,0,32,0.021400000000000002,51.0,513,0.0076
7887,200,5OB7X3CRN0M8SAJF,2016-01-07 11:53:32.602,0,31,0.0073,78.2,548,0.0005
7886,200,5OB7X3CRN0M8SAJF,2016-01-07 15:22:38.812,0,27,0.0164,92.3,489,0.0032
7885,200,5OB7X3CRN0M8SAJF,2016-01-07 15:43:43.014,0,11,0.0269,66.5,520,0.0019
7884,200,5OB7X3CRN0M8SAJF,2016-01-07 18:50:46.521,0,39,0.0159,62.6,567,0.003
7883,200,5OB7X3CRN0M8SAJF,2016-01-07 20:20:49.365,0,22,0.015300000000000001,74.1,721,0.0002
7882,200,5OB7X3CRN0M8SAJF,2016-01-07 23:09:51.513,0,30,0.020200000000000003,91.6,495,0.038200000000000005
7881,200,5OB7X3CRN0M8SAJF,2016-01-08 01:29:32.157,0,18,0.0241,88.1,457,0.00030000000000000003
7880,200,5OB7X3CRN0M8SAJF,2016-01-08 01:39:54.278,0,22,0.0274,83.7,365,0.0001
7879,200,5OB7X3CRN0M8SAJF,2016-01-08 02:14:12.147,0,38,0.015700000000000002,57.2,575,0.0017
7878,200,5OB7X3CRN0M8SAJF,2016-01-08 05:52:45.716,0,22,0.0357,116.8,308,0.0001
7877,200,5OB7X3CRN0M8SAJF,2016-01-08 09:31:17.248,0,21,0.0158,112.6,444,0.0001
7876,200,5OB7X3CRN0M8SAJF,2016-01-08 09:58:31.981,0,24,0.024800000000000003,54.4,323,0.0009000000000000002
7875,200,5OB7X3CRN0M8SAJF,2016-01-08 16:37:52.966,0,27,0.0181,77.8,497,0.0032
7874,200,5OB7X3CRN0M8SAJF,2016-01-08 16:49:30.005,0,18,0.0175,73.5,457,0.0001
7873,200,5OB7X3CRN0M8SAJF,2016-01-08 22:49:16.185,0,9,0.0158,90.4,569,0.0002
7872,200,5OB7X3CRN0M8SAJF,2016-01-09 09:44:58.427,0,47,0.0263,52.0,457,0.1491
7871,200,5OB7X3CRN0M8SAJF,2016-01-09 09:47:10.974,0,32,0.0217,86.3,460,0.0197
7870,200,5OB7X3CRN0M8SAJF,2016-01-09 10:51:02.848,0,26,0.023,54.0,564,0.0189
7869,200,5OB7X3CRN0M8SAJF,2016-01-09 10:55:54.760,0,21,0.0171,45.6,527,0.0001
7868,200,5OB7X3CRN0M8SAJF,2016-01-09 20:11:52.489,0,32,0.020800000000000003,86.9,578,0.0953
7867,200,5OB7X3CRN0M8SAJF,2016-01-09 22:49:33.966,0,27,0.0125,77.0,641,0.0007
7866,200,5OB7X3CRN0M8SAJF,2016-01-09 23:50:16.370,0,17,0.0076,87.0,661,0.0001
7865,200,5OB7X3CRN0M8SAJF,2016-01-10 01:36:46.885,0,36,0.011600000000000001,59.8,602,0.0022
7864,200,5OB7X3CRN0M8SAJF,2016-01-10 02:56:06.143,0,41,0.0125,46.8,480,0.0001
7863,200,5OB7X3CRN0M8SAJF,2016-01-10 11:47:29.325,0,28,0.025,87.2,480,0.1108
7862,200,5OB7X3CRN0M8SAJF,2016-01-10 14:39:09.254,0,29,0.0165,77.9,547,0.0028
7861,200,5OB7X3CRN0M8SAJF,2016-01-10 15:05:37.339,0,32,0.012700000000000001,72.2,474,0.0007
7860,200,5OB7X3CRN0M8SAJF,2016-01-10 20:40:10.793,0,31,0.0158,76.3,507,0.0025
7859,200,5OB7X3CRN0M8SAJF,2016-01-11 03:34:23.824,0,17,0.017,57.9,529,0.0001
7858,200,5OB7X3CRN0M8SAJF,2016-01-11 06:10:47.425,0,37,0.024900000000000002,89.6,481,0.3159
7857,200,5OB7X3CRN0M8SAJF,2016-01-11 07:12:43.944,0,35,0.026500000000000003,45.4,339,0.0034
7856,200,5OB7X3CRN0M8SAJF,2016-01-11 13:33:52.179,0,28,0.0137,69.2,586,0.0006000000000000001
7855,200,5OB7X3CRN0M8SAJF,2016-01-12 01:47:20.536,0,23,0.0199,94.2,402,0.0002
7854,200,5OB7X3CRN0M8SAJF,2016-01-12 01:58:56.238,0,28,0.020300000000000002,57.5,493,0.0075000000000000015
7853,200,5OB7X3CRN0M8SAJF,2016-01-12 02:42:18.887,0,26,0.0193,46.9,569,0.0023
7852,200,5OB7X3CRN0M8SAJF,2016-01-12 03:44:41.602,0,0,0.027700000000000002,61.2,433,0.0002
7851,200,5OB7X3CRN0M8SAJF,2016-01-12 09:07:05.448,0,21,0.021,79.4,523,0.0007
7850,200,5OB7X3CRN0M8SAJF,2016-01-12 10:01:47.863,0,33,0.015300000000000001,86.8,588,0.0048
7849,200,5OB7X3CRN0M8SAJF,2016-01-12 13:09:44.517,0,42,0.016800000000000002,78.5,476,0.0018000000000000004
7848,200,5OB7X3CRN0M8SAJF,2016-01-12 14:38:44.613,0,25,0.016900000000000002,73.4,592,0.0032
7847,200,5OB7X3CRN0M8SAJF,2016-01-12 16:16:58.254,0,24,0.028300000000000002,65.7,389,0.1017
7846,200,5OB7X3CRN0M8SAJF,2016-01-12 18:08:49.268,0,27,0.0165,85.5,544,0.0028
7845,200,5OB7X3CRN0M8SAJF,2016-01-12 18:39:47.259,0,21,0.031900000000000005,112.1,408,0.0002
7844,200,5OB7X3CRN0M8SAJF,2016-01-12 18:45:54.377,0,12,0.018600000000000002,33.3,537,0.0001
7843,200,5OB7X3CRN0M8SAJF,2016-01-12 21:29:16.085,0,17,0.0187,62.9,481,0.0001
7842,200,5OB7X3CRN0M8SAJF,2016-01-12 23:18:23.312,0,28,0.0142,59.6,424,0.006999999999999999
7841,200,5OB7X3CRN0M8SAJF,2016-01-13 00:08:47.285,0,22,0.015300000000000001,89.0,393,0.0001
7840,200,5OB7X3CRN0M8SAJF,2016-01-13 00:38:54.064,0,30,0.0328,80.9,396,0.5339
7839,200,5OB7X3CRN0M8SAJF,2016-01-13 12:27:37.229,0,41,0.0129,61.2,542,0.0006000000000000001
7838,200,5OB7X3CRN0M8SAJF,2016-01-13 15:04:57.597,0,24,0.018500000000000003,42.8,486,0.0009000000000000002
7837,200,5OB7X3CRN0M8SAJF,2016-01-13 17:19:46.075,0,13,0.024900000000000002,74.0,481,0.0005
7836,200,5OB7X3CRN0M8SAJF,2016-01-14 00:46:13.462,0,39,0.020300000000000002,86.0,492,0.024
7835,200,5OB7X3CRN0M8SAJF,2016-01-14 01:43:19.944,0,13,0.0238,27.9,378,0.0001
7834,200,5OB7X3CRN0M8SAJF,2016-01-14 02:49:39.202,0,34,0.0198,114.7,655,0.0495
7833,200,5OB7X3CRN0M8SAJF,2016-01-14 03:35:50.970,0,13,0.018000000000000002,57.3,556,0.0001
7832,200,5OB7X3CRN0M8SAJF,2016-01-14 05:13:44.775,0,31,0.021,39.5,429,0.0031000000000000003
7831,200,5OB7X3CRN0M8SAJF,2016-01-14 16:02:41.170,0,28,0.0131,111.9,611,0.0005
7830,200,5OB7X3CRN0M8SAJF,2016-01-14 22:31:03.037,0,21,0.0171,82.4,469,0.0001
7829,200,5OB7X3CRN0M8SAJF,2016-01-15 00:01:08.287,0,30,0.0256,95.5,468,0.15330000000000002
7828,200,5OB7X3CRN0M8SAJF,2016-01-15 01:24:36.799,0,33,0.017,110.4,706,0.0026000000000000003
7827,200,5OB7X3CRN0M8SAJF,2016-01-15 08:30:21.652,0,26,0.0165,95.4,668,0.005
7826,200,5OB7X3CRN0M8SAJF,2016-01-15 12:27:25.314,0,35,0.0154,47.5,520,0.0009000000000000002
7825,200,5OB7X3CRN0M8SAJF,2016-01-15 20:34:31.303,0,40,0.0143,80.4,629,0.01
7824,200,5OB7X3CRN0M8SAJF,2016-01-16 02:40:04.267,0,22,0.0178,64.3,619,0.0001
7823,200,5OB7X3CRN0M8SAJF,2016-01-16 08:29:40.274,0,34,0.0308,62.3,357,0.16399999999999998
7822,200,5OB7X3CRN0M8SAJF,2016-01-16 10:41:17.893,0,28,0.013900000000000001,68.6,574,0.0044
7821,200,5OB7X3CRN0M8SAJF,2016-01-16 17:06:52.567,0,20,0.033600000000000005,52.7,268,0.0
7820,200,5OB7X3CRN0M8SAJF,2016-01-16 21:46:06.808,0,15,0.019,70.9,630,0.0001
7819,200,5OB7X3CRN0M8SAJF,2016-01-16 22:50:23.860,0,24,0.0188,75.7,584,0.0047
7818,200,5OB7X3CRN0M8SAJF,2016-01-17 05:33:52.930,0,34,0.0193,65.6,517,0.008700000000000001
7817,200,5OB7X3CRN0M8SAJF,2016-01-17 06:03:20.786,0,27,0.034,95.3,382,0.8029000000000001
7816,200,5OB7X3CRN0M8SAJF,2016-01-17 07:01:43.769,0,22,0.0131,85.2,536,0.0001
7815,200,5OB7X3CRN0M8SAJF,2016-01-17 08:43:57.453,0,29,0.0216,93.3,463,0.0232
7814,200,5OB7X3CRN0M8SAJF,2016-01-17 16:53:22.489,0,40,0.0161,81.4,496,0.0021000000000000003
7813,200,5OB7X3CRN0M8SAJF,2016-01-17 19:58:41.116,0,17,0.0184,98.7,543,0.0002
7812,200,5OB7X3CRN0M8SAJF,2016-01-17 21:53:23.125,0,19,0.0137,100.7,510,0.0001
7811,200,5OB7X3CRN0M8SAJF,2016-01-18 01:05:38.458,0,32,0.02,95.7,350,0.0037
7810,200,5OB7X3CRN0M8SAJF,2016-01-18 07:34:01.415,0,32,0.011,58.0,724,0.0005
7809,200,5OB7X3CRN0M8SAJF,2016-01-18 11:30:38.856,0,20,0.020300000000000002,63.0,395,0.0002
7808,200,5OB7X3CRN0M8SAJF,2016-01-18 14:33:49.588,0,20,0.0257,78.7,428,0.0006000000000000001
7807,200,5OB7X3CRN0M8SAJF,2016-01-18 18:14:25.871,0,51,0.0235,51.9,469,0.0238
7806,200,5OB7X3CRN0M8SAJF,2016-01-18 19:17:28.522,0,19,0.0386,62.8,285,0.0
7805,200,5OB7X3CRN0M8SAJF,2016-01-18 21:39:41.780,0,37,0.0193,70.3,518,0.0067
7804,200,5OB7X3CRN0M8SAJF,2016-01-18 21:48:40.921,0,47,0.0223,75.0,404,0.0222
7803,200,5OB7X3CRN0M8SAJF,2016-01-19 00:58:18.606,0,26,0.0177,80.1,622,0.0046
7802,200,5OB7X3CRN0M8SAJF,2016-01-19 10:24:08.785,0,30,0.029900000000000003,56.3,334,0.0752
7801,200,5OB7X3CRN0M8SAJF,2016-01-19 12:36:24.036,0,31,0.0166,61.3,543,0.0025
7800,200,5OB7X3CRN0M8SAJF,2016-01-19 12:39:36.084,0,21,0.015,52.2,467,0.0001
7799,200,5OB7X3CRN0M8SAJF,2016-01-19 12:44:22.996,0,31,0.0111,80.1,449,0.0008
7798,200,5OB7X3CRN0M8SAJF,2016-01-19 17:03:03.743,0,29,0.024300000000000002,84.9,412,0.0463
7797,200,5OB7X3CRN0M8SAJF,2016-01-20 00:29:36.561,0,23,0.0114,47.4,616,0.0001
7796,200,5OB7X3CRN0M8SAJF,2016-01-20 00:47:54.992,0,19,0.0175,92.8,573,0.0002
7795,200,5OB7X3CRN0M8SAJF,2016-01-20 03:04:08.266,0,19,0.0228,67.8,395,0.0002
7794,200,5OB7X3CRN0M8SAJF,2016-01-20 06:56:30.710,0,26,0.012700000000000001,61.4,553,0.0005
7793,200,5OB7X3CRN0M8SAJF,2016-01-20 12:32:40.909,0,35,0.014100000000000001,68.5,498,0.0051
7792,200,5OB7X3CRN0M8SAJF,2016-01-20 17:57:10.136,0,14,0.0307,50.3,456,0.0002
7791,200,5OB7X3CRN0M8SAJF,2016-01-20 21:24:05.121,0,21,0.013000000000000001,50.2,690,0.0001
7790,200,5OB7X3CRN0M8SAJF,2016-01-20 22:48:56.141,0,7,0.0223,68.4,358,0.0001
7789,200,5OB7X3CRN0M8SAJF,2016-01-21 02:04:44.665,0,26,0.022500000000000003,79.7,489,0.0304
7788,200,5OB7X3CRN0M8SAJF,2016-01-21 04:42:55.054,0,17,0.0315,79.7,381,0.0001
7787,200,5OB7X3CRN0M8SAJF,2016-01-21 06:03:59.051,0,23,0.0201,100.9,447,0.0005
7786,200,5OB7X3CRN0M8SAJF,2016-01-21 06:51:09.979,0,18,0.024200000000000003,81.2,538,0.001
7785,200,5OB7X3CRN0M8SAJF,2016-01-21 10:20:52.671,0,23,0.0095,85.4,631,0.0001
7784,200,5OB7X3CRN0M8SAJF,2016-01-21 14:15:09.579,0,24,0.0198,53.0,504,0.0024
7783,200,5OB7X3CRN0M8SAJF,2016-01-21 14:32:06.548,0,15,0.015300000000000001,75.5,718,0.0002
7782,200,5OB7X3CRN0M8SAJF,2016-01-21 15:17:07.499,0,28,0.019100000000000002,66.8,524,0.0025
7781,200,5OB7X3CRN0M8SAJF,2016-01-21 19:15:53.125,0,38,0.0106,84.8,565,0.0006000000000000001
7780,200,5OB7X3CRN0M8SAJF,2016-01-22 05:18:57.162,0,18,0.027800000000000002,56.9,431,0.0002
7779,200,5OB7X3CRN0M8SAJF,2016-01-22 06:00:57.358,0,21,0.0111,54.5,451,0.0
7778,200,5OB7X3CRN0M8SAJF,2016-01-22 06:45:39.292,0,30,0.0236,89.5,424,0.06170000000000001
7777,200,5OB7X3CRN0M8SAJF,2016-01-22 12:51:58.550,0,28,0.020800000000000003,59.2,528,0.0235
7776,200,5OB7X3CRN0M8SAJF,2016-01-22 19:36:15.013,0,28,0.0303,84.0,462,0.5485
7775,200,5OB7X3CRN0M8SAJF,2016-01-23 01:15:30.464,0,19,0.017400000000000002,104.1,516,0.0001
7774,200,5OB7X3CRN0M8SAJF,2016-01-23 07:48:02.462,0,18,0.0194,72.7,568,0.0002
7773,200,5OB7X3CRN0M8SAJF,2016-01-23 13:32:34.281,0,18,0.019,80.0,474,0.0001
7772,200,5OB7X3CRN0M8SAJF,2016-01-23 13:50:05.368,0,32,0.012,62.2,499,0.0005
7771,200,5OB7X3CRN0M8SAJF,2016-01-23 14:24:41.647,0,11,0.019100000000000002,88.8,523,0.0002
7770,200,5OB7X3CRN0M8SAJF,2016-01-23 18:26:24.745,0,26,0.0111,64.8,539,0.0005
7769,200,5OB7X3CRN0M8SAJF,2016-01-23 20:06:46.794,0,25,0.049800000000000004,61.3,241,0.9498
7768,200,5OB7X3CRN0M8SAJF,2016-01-23 20:25:41.834,0,34,0.024900000000000002,95.9,402,0.0398
7767,200,5OB7X3CRN0M8SAJF,2016-01-23 20:44:26.610,0,23,0.0181,100.8,386,0.0001
7766,200,5OB7X3CRN0M8SAJF,2016-01-24 00:42:23.102,0,26,0.0206,85.6,437,0.0162
7765,200,5OB7X3CRN0M8SAJF,2016-01-24 05:53:11.231,0,27,0.0148,63.6,607,0.0032
7764,200,5OB7X3CRN0M8SAJF,2016-01-24 06:28:20.768,0,18,0.0131,72.2,609,0.0001
7763,200,5OB7X3CRN0M8SAJF,2016-01-24 12:07:10.998,0,27,0.0239,64.9,544,0.0849
7762,200,5OB7X3CRN0M8SAJF,2016-01-24 12:48:32.863,0,32,0.012100000000000001,69.9,578,0.0014
7761,200,5OB7X3CRN0M8SAJF,2016-01-24 14:00:36.120,0,40,0.0172,53.0,640,0.0041
7760,200,5OB7X3CRN0M8SAJF,2016-01-24 15:52:04.042,0,12,0.0126,77.8,716,0.0001
7759,200,5OB7X3CRN0M8SAJF,2016-01-24 17:11:19.374,0,12,0.0236,55.6,424,0.0001
7758,200,5OB7X3CRN0M8SAJF,2016-01-24 18:50:23.729,0,31,0.0219,66.7,411,0.0105
7757,200,5OB7X3CRN0M8SAJF,2016-01-24 20:42:42.829,0,30,0.0258,41.8,426,0.0532
7756,200,5OB7X3CRN0M8SAJF,2016-01-25 07:11:39.351,0,16,0.0134,62.4,524,0.0001
7755,200,5OB7X3CRN0M8SAJF,2016-01-25 10:41:20.686,0,32,0.0257,94.2,505,0.4035
7754,200,5OB7X3CRN0M8SAJF,2016-01-25 12:00:42.751,0,39,0.0173,74.4,578,0.022000000000000002
7753,200,5OB7X3CRN0M8SAJF,2016-01-25 16:34:32.238,0,28,0.036000000000000004,63.8,389,0.8103
7752,200,5OB7X3CRN0M8SAJF,2016-01-25 21:28:54.776,0,27,0.023,103.5,392,0.0648
7751,200,5OB7X3CRN0M8SAJF,2016-01-26 05:59:29.613,0,28,0.0189,57.1,476,0.0013000000000000002
7750,200,5OB7X3CRN0M8SAJF,2016-01-26 07:09:07.680,0,17,0.0173,76.7,577,0.0001
7749,200,5OB7X3CRN0M8SAJF,2016-01-26 13:40:15.319,0,28,0.0148,71.9,608,0.0032
7748,200,5OB7X3CRN0M8SAJF,2016-01-27 06:14:45.572,0,30,0.015600000000000001,84.5,578,0.0085
7747,200,5OB7X3CRN0M8SAJF,2016-01-27 14:39:14.179,0,26,0.019100000000000002,85.9,523,0.004
7746,200,5OB7X3CRN0M8SAJF,2016-01-27 15:09:27.959,0,33,0.0151,43.0,531,0.0008
7745,200,5OB7X3CRN0M8SAJF,2016-01-27 21:41:28.235,0,26,0.022500000000000003,85.5,488,0.0273
7744,200,5OB7X3CRN0M8SAJF,2016-01-27 21:42:06.749,0,27,0.0204,62.5,393,0.0093
7743,200,5OB7X3CRN0M8SAJF,2016-01-27 22:43:35.498,0,38,0.013600000000000001,76.5,590,0.002
7742,200,5OB7X3CRN0M8SAJF,2016-01-27 23:53:45.181,0,28,0.012400000000000001,88.9,564,0.0012
7741,200,5OB7X3CRN0M8SAJF,2016-01-28 00:33:45.729,0,36,0.015,74.1,532,0.0025
7740,200,5OB7X3CRN0M8SAJF,2016-01-28 03:00:13.906,0,30,0.0159,55.0,565,0.0012
7739,200,5OB7X3CRN0M8SAJF,2016-01-28 04:07:56.777,0,33,0.011300000000000001,71.8,621,0.0007
7738,200,5OB7X3CRN0M8SAJF,2016-01-28 09:53:12.922,0,42,0.020300000000000002,71.3,543,0.019
7737,200,5OB7X3CRN0M8SAJF,2016-01-28 13:07:14.261,0,24,0.0236,66.1,424,0.0231
7736,200,5OB7X3CRN0M8SAJF,2016-01-28 13:56:32.150,0,38,0.030500000000000003,98.6,459,0.7974
7735,200,5OB7X3CRN0M8SAJF,2016-01-28 14:13:15.623,0,27,0.0175,84.4,515,0.004
7734,200,5OB7X3CRN0M8SAJF,2016-01-29 08:09:22.371,0,38,0.0181,64.9,443,0.0018000000000000004
7733,200,5OB7X3CRN0M8SAJF,2016-01-29 09:14:35.870,0,34,0.0143,61.8,420,0.0048
7732,200,5OB7X3CRN0M8SAJF,2016-01-29 09:16:08.214,0,28,0.019200000000000002,92.0,469,0.0106
7731,200,5OB7X3CRN0M8SAJF,2016-01-29 09:40:53.227,0,27,0.0273,88.0,440,0.2624
7730,200,5OB7X3CRN0M8SAJF,2016-01-29 10:36:01.300,0,29,0.0143,74.4,488,0.0027
7729,200,5OB7X3CRN0M8SAJF,2016-01-29 10:48:56.927,0,16,0.029400000000000003,67.6,476,0.0001
7728,200,5OB7X3CRN0M8SAJF,2016-01-29 18:19:10.777,0,26,0.0125,80.1,481,0.0008
7727,200,5OB7X3CRN0M8SAJF,2016-01-29 19:51:17.381,0,16,0.0241,80.0,415,0.00030000000000000003
7726,200,5OB7X3CRN0M8SAJF,2016-01-29 20:08:11.599,0,31,0.0181,38.6,442,0.0006000000000000001
7725,200,5OB7X3CRN0M8SAJF,2016-01-29 22:58:07.807,0,23,0.0184,47.6,597,0.0002
7724,200,5OB7X3CRN0M8SAJF,2016-01-29 23:09:49.829,0,29,0.0142,83.7,563,0.0054
7723,200,5OB7X3CRN0M8SAJF,2016-01-30 05:09:16.498,0,35,0.0199,81.1,554,0.0206
7722,200,5OB7X3CRN0M8SAJF,2016-01-30 07:40:12.649,0,18,0.016300000000000002,81.0,490,0.0001
7721,200,5OB7X3CRN0M8SAJF,2016-01-30 09:25:16.036,0,17,0.025400000000000002,88.4,394,0.00030000000000000003
7720,200,5OB7X3CRN0M8SAJF,2016-01-30 16:47:01.888,0,36,0.025400000000000002,71.3,512,0.3793
7719,200,5OB7X3CRN0M8SAJF,2016-01-30 16:52:36.904,0,30,0.0187,52.4,534,0.0009000000000000002
7718,200,5OB7X3CRN0M8SAJF,2016-01-30 18:25:08.834,0,33,0.018600000000000002,79.5,483,0.0033
7717,200,5OB7X3CRN0M8SAJF,2016-01-30 19:35:39.556,0,19,0.0161,58.5,558,0.0001
7716,200,5OB7X3CRN0M8SAJF,2016-01-30 19:57:48.116,0,28,0.0263,69.3,418,0.08510000000000001
7715,200,5OB7X3CRN0M8SAJF,2016-01-30 22:17:50.645,0,24,0.020200000000000003,82.1,396,0.0144
7714,200,5OB7X3CRN0M8SAJF,2016-02-01 03:16:10.479,0,24,0.012700000000000001,72.5,553,0.0007
7713,200,5OB7X3CRN0M8SAJF,2016-02-01 05:16:21.177,0,33,0.013800000000000002,69.2,727,0.0007
7712,200,5OB7X3CRN0M8SAJF,2016-02-01 05:42:45.670,0,22,0.0227,76.9,440,0.0002
7711,200,5OB7X3CRN0M8SAJF,2016-02-01 06:26:54.231,0,31,0.0247,44.3,445,0.0089
7710,200,5OB7X3CRN0M8SAJF,2016-02-01 11:23:11.260,0,23,0.0218,67.9,550,0.0006000000000000001
7709,200,5OB7X3CRN0M8SAJF,2016-02-01 14:48:23.518,0,30,0.0195,57.9,462,0.0034
7708,200,5OB7X3CRN0M8SAJF,2016-02-01 16:08:58.840,0,29,0.0177,51.7,452,0.0008
7707,200,5OB7X3CRN0M8SAJF,2016-02-01 20:52:29.485,0,29,0.020900000000000002,41.9,574,0.0075000000000000015
7706,200,5OB7X3CRN0M8SAJF,2016-02-01 22:56:17.159,0,30,0.013600000000000001,89.6,660,0.0012
7705,200,5OB7X3CRN0M8SAJF,2016-02-02 00:29:43.071,0,38,0.0158,30.4,570,0.0006000000000000001
7704,200,5OB7X3CRN0M8SAJF,2016-02-02 00:35:19.408,0,27,0.019100000000000002,59.7,628,0.0035
7703,200,5OB7X3CRN0M8SAJF,2016-02-02 01:28:55.105,0,32,0.008400000000000001,85.7,713,0.0006000000000000001
7702,200,5OB7X3CRN0M8SAJF,2016-02-02 03:15:42.331,0,28,0.0176,59.1,510,0.0016
7701,200,5OB7X3CRN0M8SAJF,2016-02-02 07:21:09.322,0,25,0.0077,62.5,646,0.0007
7700,200,5OB7X3CRN0M8SAJF,2016-02-02 12:24:11.759,0,29,0.0222,53.0,406,0.0024
7699,200,5OB7X3CRN0M8SAJF,2016-02-02 14:04:05.756,0,22,0.014700000000000001,55.6,543,0.0001
7698,200,5OB7X3CRN0M8SAJF,2016-02-02 17:57:35.833,0,30,0.0183,67.9,545,0.0026000000000000003
7697,200,5OB7X3CRN0M8SAJF,2016-02-02 20:24:08.273,0,30,0.0204,70.6,442,0.0112
7696,200,5OB7X3CRN0M8SAJF,2016-02-03 02:22:11.239,0,25,0.014400000000000001,87.7,554,0.0035
7695,200,5OB7X3CRN0M8SAJF,2016-02-03 03:56:00.504,0,34,0.0247,79.4,526,0.1816
7694,200,5OB7X3CRN0M8SAJF,2016-02-03 06:31:06.254,0,20,0.0134,72.2,672,0.0001
7693,200,5OB7X3CRN0M8SAJF,2016-02-03 11:29:17.994,0,22,0.0148,84.1,472,0.0001
7692,200,5OB7X3CRN0M8SAJF,2016-02-03 15:48:48.463,0,24,0.0154,71.9,518,0.0037
