custid,dropperc,mins,consecmonths,income,age,churn_Y,prob
175256,0.0155555555555556,450,17,61.3,55,0,0.24732475091912834
431954,0.0256410256410256,429,34,87.9,46,0,0.48485444590150484
931354,0.00896860986547085,446,22,57.0,49,0,0.26355067100190926
225731,0.0273972602739726,438,19,65.3,41,0,0.4588089431614333
529805,0.0166666666666667,660,30,94.4,28,0,0.4639321537367627
389543,0.0130505709624796,613,23,69.7,31,0,0.27536678340442283
681631,0.0223325062034739,403,26,64.5,50,0,0.4514336821141309
38282,0.0167714884696017,477,35,50.8,44,0,0.4332949289946669
755553,0.0185810810810811,592,42,95.7,36,0,0.46356596869422434
217272,0.0202205882352941,544,36,75.0,58,0,0.4588151519377199
883925,0.0290556900726392,413,24,93.4,39,0,0.4991491366457403
686299,0.018348623853211003,436,11,64.0,43,0,0.2507391439818933
239143,0.0157068062827225,573,40,65.6,46,0,0.45242057900402033
845228,0.015695067264574,446,41,42.1,42,0,0.43895750298654074
38606,0.0210325047801147,523,35,94.2,48,0,0.46517972788384815
251767,0.0138888888888889,504,35,58.2,40,0,0.47480393207159816
402421,0.0416666666666667,264,31,86.1,27,1,0.5165257627805074
366585,0.0195227765726681,461,10,74.1,50,0,0.2498549719418342
750705,0.025462962962963,432,30,77.7,58,0,0.4702303986004555
205278,0.0199115044247788,452,23,59.9,40,0,0.40693738943736174
980934,0.0180327868852459,610,24,70.4,50,0,0.4479311662685102
350004,0.0188034188034188,585,28,89.2,54,0,0.45071008431110987
752743,0.0143626570915619,557,23,52.9,35,0,0.408096882710657
35331,0.0138888888888889,504,21,71.0,49,0,0.43283301397298507
847461,0.0254237288135593,472,14,61.0,40,0,0.2799966953250069
312852,0.0404984423676012,321,18,89.8,28,0,0.31090213857831583
115036,0.0223048327137546,538,37,74.6,56,0,0.46811541076106206
324186,0.0122448979591837,490,24,52.6,30,0,0.29857064420602064
508568,0.026431718061674,454,37,71.5,45,0,0.4878010448032605
561259,0.0190839694656489,524,35,81.3,42,0,0.45007295485732784
507662,0.0241635687732342,538,18,81.2,28,0,0.28196762731662167
367914,0.0206896551724138,435,14,46.0,46,0,0.2558031875961722
882062,0.016366612111293,611,22,43.5,54,0,0.3964818524256945
361748,0.0119047619047619,588,41,67.4,56,0,0.3081897660426166
791383,0.0230769230769231,520,27,90.8,35,1,0.48390785330232233
359442,0.0298507462686567,402,25,84.4,56,1,0.4895424910813452
117110,0.0175879396984925,398,19,70.3,37,0,0.4090412466749393
581468,0.0146252285191956,547,43,83.9,38,0,0.4630120282743318
519609,0.0146443514644351,478,16,35.8,40,0,0.24343975260107123
399473,0.0148809523809524,672,21,51.7,39,0,0.4138038118652931
456826,0.020703933747411998,483,31,69.1,39,0,0.4561256546511174
899093,0.0188034188034188,585,31,56.5,45,0,0.4490966398653508
433140,0.028169014084507005,355,28,32.6,46,0,0.46264273123329036
981797,0.0072202166064982,554,19,47.5,48,0,0.266778779283995
835501,0.0153846153846154,585,24,82.3,38,0,0.4524502228430497
602693,0.0162454873646209,554,20,97.4,26,0,0.4184404264294016
161441,0.0165745856353591,543,31,61.3,53,0,0.4422145652281731
471419,0.0211946050096339,519,28,77.4,44,0,0.4669282430184211
929943,0.0134099616858238,522,31,65.0,38,0,0.3051346189785331
901118,0.0153550863723608,521,33,62.2,39,0,0.44672261654805445
764298,0.0349794238683128,486,20,70.3,30,0,0.46678001178473066
511811,0.0321543408360129,311,20,53.9,45,0,0.4339007435413807
724567,0.0231362467866324,389,38,19.9,26,0,0.4589921701045956
799449,0.0174672489082969,458,20,120.8,39,0,0.4100128463468788
584669,0.0191204588910134,523,16,77.0,22,0,0.26215646829022965
360776,0.009508716323296359,631,23,85.4,34,0,0.2780778958789607
178666,0.0196078431372549,459,29,52.0,47,0,0.4288173593689405
511446,0.0157303370786517,445,25,61.3,38,0,0.441377457176576
515896,0.0177619893428064,563,38,67.4,43,0,0.45242057900402033
264697,0.0189035916824197,529,37,98.9,29,0,0.46117948801313197
546494,0.0149625935162095,401,29,82.4,39,0,0.449709371235273
390435,0.0195694716242661,511,28,85.8,37,0,0.45007295485732784
318302,0.0230414746543779,434,28,67.0,39,0,0.4697014484138334
479708,0.0197530864197531,405,23,82.2,37,0,0.4080484177185211
664327,0.0284463894967177,457,14,27.9,51,0,0.27410307729837197
931368,0.0281995661605206,461,20,76.2,40,0,0.4552811282976854
682173,0.0199637023593466,551,20,71.8,18,0,0.4214663368909643
158093,0.013136288998358,609,30,84.7,46,0,0.3100642198993456
456640,0.0218978102189781,411,26,51.1,49,0,0.44552151952586233
947814,0.0364077669902913,412,20,60.3,48,0,0.4613391425366088
154975,0.0250569476082005,439,34,64.6,30,0,0.4798096241853516
358631,0.0125,640,15,58.9,27,0,0.1614093382395419
875885,0.0198511166253102,403,9,38.9,53,0,0.2439638173142679
552977,0.01620029455081,679,31,69.1,55,0,0.2851245848493167
326748,0.0415512465373961,361,28,87.1,24,1,0.5193299171088959
77488,0.0161550888529887,619,38,90.4,59,0,0.4491994485368289
208037,0.0182232346241458,439,22,71.6,36,0,0.4070377538480125
814420,0.0274599542334096,437,27,40.3,38,0,0.48474797715315626
212486,0.0194931773879142,513,14,62.1,36,0,0.25683222382885806
922628,0.014827018121911001,607,17,65.1,55,0,0.25873527354434583
586472,0.019438444924406002,463,35,53.7,51,0,0.4288173593689405
473475,0.0332225913621262,301,25,67.6,38,0,0.48860520407590935
324314,0.018000000000000002,500,27,66.0,58,0,0.43504190814936594
840797,0.026378896882494,417,37,61.7,41,0,0.48441725067053665
560152,0.0155210643015521,451,19,110.8,23,0,0.42275738734044044
949534,0.0188034188034188,585,35,55.2,27,0,0.4470784742669701
651029,0.02734375,512,29,71.8,35,1,0.5043850722522868
137903,0.009273570324574959,647,22,78.0,42,0,0.2759702767797627
170165,0.0280373831775701,428,32,66.5,40,0,0.49295540971294904
311673,0.0196078431372549,510,23,61.9,51,0,0.40205753140706224
661201,0.00509337860780985,589,28,71.8,41,0,0.3100642198993456
205145,0.0213464696223317,609,26,100.6,42,1,0.47211669477588947
974346,0.0287081339712919,418,28,85.5,35,0,0.4989721932980977
216121,0.0121527777777778,576,20,74.3,57,0,0.270438859708502
630076,0.0214424951267057,513,34,114.8,49,0,0.4680679777099988
151932,0.0316622691292876,379,23,41.7,50,0,0.4286054379834714
303176,0.0285087719298246,456,36,70.7,33,1,0.5047286347009818
887524,0.0132547864506627,679,24,85.0,44,0,0.1829597321031619
794130,0.0156918687589158,701,23,75.0,23,0,0.2635859801104791
945727,0.032520325203252,369,24,62.8,57,0,0.4840442649693828
656323,0.0164744645799012,607,21,66.0,44,0,0.40877264916215
41051,0.01417004048583,494,29,62.5,56,0,0.44941064261922253
142181,0.0199667221297837,601,28,57.3,36,0,0.45756610719285673
890763,0.0155367231638418,708,23,85.7,41,0,0.25882223342532806
808458,0.0143112701252236,559,31,91.5,37,0,0.46008066600731806
968705,0.0225806451612903,620,24,66.3,32,0,0.4685658830745659
723232,0.0185185185185185,540,30,55.9,45,0,0.4386190615689706
616673,0.0165441176470588,544,24,31.2,49,0,0.42542433003291613
13083,0.0240700218818381,457,18,88.1,40,0,0.27774665545713156
434742,0.0244399185336049,491,39,56.8,42,0,0.47864060103601874
672745,0.0188034188034188,585,36,83.5,41,0,0.4581607446841334
180048,0.0134907251264755,593,31,58.0,56,0,0.3033021509496136
345204,0.0153061224489796,588,18,83.6,47,0,0.2557581763005958
967781,0.0250481695568401,519,8,70.7,41,0,0.2859304893001557
195804,0.0160427807486631,374,25,40.7,53,0,0.4181879782260943
787418,0.0189075630252101,476,23,94.2,33,0,0.40975127108815834
841507,0.0200445434298441,449,28,75.7,60,0,0.43886680731390715
160030,0.0240740740740741,540,30,53.9,24,0,0.47306321875106006
274975,0.0207006369426752,628,28,83.6,36,0,0.4698793574913939
443079,0.0231362467866324,389,42,62.0,40,0,0.4698562984214849
990478,0.0169491525423729,472,21,75.1,63,0,0.39313920529214547
631844,0.0156521739130435,575,30,55.9,39,0,0.4386190615689706
442625,0.0240963855421687,415,35,53.5,48,0,0.45699471768092154
668487,0.0203327171903882,541,29,57.7,44,0,0.46150186553081995
546798,0.0159680638722555,501,38,90.0,51,0,0.45403612320545866
301843,0.0242290748898678,454,19,54.4,37,0,0.42772285492026435
887693,0.0139165009940358,503,28,85.2,37,0,0.4781828550749461
584597,0.0174216027874564,574,6,58.0,59,0,0.24593530300817165
686480,0.0153846153846154,520,31,39.4,44,0,0.4386190615689706
961050,0.0201612903225806,496,38,54.6,54,0,0.45453197105026083
105404,0.0173745173745174,518,30,73.9,37,0,0.45007295485732784
484464,0.0201342281879195,447,28,63.2,52,0,0.4516001652038738
578969,0.0164319248826291,426,27,80.6,66,0,0.43305060051422395
401246,0.0077922077922077905,385,23,62.4,58,0,0.25367078995593356
894866,0.0183333333333333,600,22,73.6,36,0,0.41460210358846655
325548,0.0124555160142349,562,29,56.2,52,0,0.30127734891104013
431868,0.0205371248025276,633,28,50.2,47,0,0.45120530172143014
862028,0.0132013201320132,606,31,86.5,45,0,0.3124719340013978
466010,0.0354838709677419,310,34,55.5,31,0,0.4881370360760675
692512,0.0318906605922551,439,18,63.2,44,0,0.2943551943011851
796539,0.0196850393700787,508,33,83.8,49,0,0.4514087628217756
459404,0.0267639902676399,411,21,68.8,56,0,0.4333109206456905
58525,0.0142566191446029,491,30,96.5,47,0,0.4533608502224453
586905,0.0192307692307692,520,25,58.1,38,0,0.44672261654805445
597819,0.0238726790450928,377,38,41.9,35,0,0.45904732935740383
854173,0.0169491525423729,590,38,51.9,29,0,0.4492705365667343
888881,0.0238663484486874,419,18,93.9,37,0,0.27774665545713156
577988,0.0206766917293233,532,43,55.6,41,0,0.4590622466174621
632587,0.0112179487179487,624,26,95.4,49,0,0.3085630992538078
584788,0.0073260073260073295,546,24,61.9,52,0,0.30127734891104013
910747,0.0196936542669584,457,11,85.9,36,0,0.2598108442749012
676132,0.0251889168765743,397,22,106.3,27,0,0.4506674955308844
62249,0.0366666666666667,300,27,68.7,56,0,0.48915299839825566
387770,0.0242424242424242,495,21,20.0,54,0,0.41313165467178736
483923,0.0292207792207792,308,26,59.7,52,0,0.47512055143175497
808483,0.0220385674931129,363,18,79.0,39,0,0.25608922478604035
506630,0.0246305418719212,406,28,61.8,37,0,0.4697014484138334
142550,0.011965811965812,585,33,57.4,40,0,0.30717394805611764
215753,0.0204841713221601,537,34,105.2,30,0,0.47317749547158316
335189,0.0140350877192982,570,40,87.9,44,0,0.4658055655066232
361700,0.0147299509001637,611,36,71.6,36,0,0.4680189598778953
872987,0.0238532110091743,545,32,78.4,40,0,0.47847700315638203
187570,0.0273684210526316,475,18,39.1,51,0,0.28122667200828855
704872,0.0252873563218391,435,38,69.4,39,0,0.48441725067053665
950793,0.0181086519114688,497,18,47.2,53,0,0.2452466752511688
909147,0.0139275766016713,718,36,59.6,20,0,0.322969130644555
892814,0.0125223613595707,559,28,84.0,51,0,0.30413649394666376
105677,0.0169811320754717,530,35,50.8,38,0,0.4386190615689706
467235,0.023094688221709,433,35,46.1,42,0,0.461528770498253
715291,0.0198300283286119,353,36,77.8,51,0,0.43861910264598497
871712,0.0232558139534884,473,26,60.7,42,0,0.4697014484138334
278,0.031700288184438,347,26,82.9,53,0,0.47849967477309957
125848,0.0130151843817787,461,23,85.8,56,0,0.2661881831684644
628364,0.0176848874598071,622,15,55.6,32,0,0.2524203180655773
115873,0.0229276895943563,567,34,46.4,51,0,0.4623724635738919
166766,0.0225563909774436,665,35,90.5,30,0,0.48085263527764494
836964,0.0170940170940171,585,34,41.7,37,0,0.4409843444614718
385653,0.0122511485451761,653,24,72.9,49,0,0.31140096113349053
266389,0.0138888888888889,648,19,80.6,34,0,0.44913687626927995
594223,0.0161812297734628,618,34,82.8,41,0,0.4524502228430497
973714,0.0204081632653061,441,12,76.6,46,0,0.26473440679220905
523178,0.027431421446384,401,29,40.1,47,0,0.47795714250047916
752209,0.0285087719298246,456,36,85.3,22,1,0.5082687333081577
981090,0.0205949656750572,437,44,76.9,37,0,0.46521182640740383
930285,0.0136798905608755,731,31,62.8,33,0,0.18250836407462348
240778,0.013953488372093002,430,35,44.8,46,0,0.46123582684470277
242717,0.0145867098865478,617,28,86.6,46,0,0.4624663409316929
104311,0.016260162601626,492,33,62.0,19,0,0.45064610368695013
675470,0.0235294117647059,510,22,124.4,47,0,0.43873757296112575
873006,0.0271844660194175,515,27,80.2,45,0,0.48745766413889885
718124,0.0282051282051282,390,29,92.6,47,0,0.4889853668123673
15877,0.0156794425087108,574,29,50.1,41,0,0.4386190615689706
826132,0.0198412698412698,504,26,77.0,36,0,0.4585455089575167
406769,0.0160183066361556,437,1,59.0,38,0,0.2507391439818933
860881,0.0237388724035608,337,22,87.9,32,0,0.4245981986748146
951016,0.0101522842639594,591,33,77.8,27,0,0.315369798319108
966092,0.0210772833723653,427,22,72.2,44,0,0.4209553988302856
836841,0.0175131348511384,571,31,78.0,42,0,0.45007295485732784
605059,0.0127931769722814,469,27,75.3,68,0,0.2934972267202427
175115,0.0221238938053097,452,31,70.8,36,0,0.4641592972375574
508494,0.0132075471698113,530,39,47.2,39,0,0.3030564045656945
607562,0.0248306997742664,443,42,75.4,36,0,0.4814466356063377
639466,0.0199203187250996,502,37,78.0,45,0,0.4616513484681653
880605,0.0262172284644195,267,20,73.9,29,0,0.43065212200344943
731870,0.0318021201413428,283,30,64.3,46,0,0.47967557803317146
373069,0.0209643605870021,477,21,85.3,28,0,0.423522587905111
539395,0.0202578268876611,543,42,71.3,33,0,0.47322498566867666
830033,0.0183823529411765,544,20,53.7,38,0,0.39855523433173545
148999,0.012396694214876,484,32,72.3,22,0,0.30866132012006814
599116,0.0186567164179104,536,34,56.6,50,0,0.4422145652281731
845325,0.0163934426229508,549,36,126.9,36,0,0.4640644519394623
661530,0.0169230769230769,650,19,56.4,27,0,0.42150618171571824
801124,0.0296495956873315,371,24,106.2,43,0,0.48876164347269263
165761,0.0303030303030303,462,26,61.9,31,1,0.4955858857155207
772643,0.0238095238095238,462,46,86.4,40,0,0.48162333825754233
922963,0.0149892933618844,467,25,46.4,25,0,0.4393663147295402
596228,0.0202839756592292,493,24,77.0,45,0,0.4626752371937261
946759,0.0232142857142857,560,26,49.3,56,0,0.4623724635738919
607228,0.018000000000000002,500,42,44.2,33,0,0.4468963396997838
697662,0.0170777988614801,527,17,64.4,32,0,0.25683222382885806
579262,0.052863436123348,227,28,49.8,33,1,0.5105442470814101
821895,0.0168453292496172,653,26,100.3,40,0,0.4613160329934845
45560,0.0457746478873239,284,29,68.5,33,1,0.5187487155879872
282091,0.0206185567010309,485,36,94.4,35,0,0.4706279831783395
545592,0.0168634064080944,593,24,99.8,36,0,0.45784500324135374
568698,0.0113452188006483,617,39,51.4,52,0,0.30123100667031355
986317,0.0184049079754601,489,18,29.3,25,0,0.244987606149915
142027,0.0130505709624796,613,17,65.3,34,0,0.15950148769066907
620933,0.0275229357798165,327,27,60.8,59,0,0.46786184880904225
830792,0.0117845117845118,594,30,94.2,49,0,0.3085630992538078
347421,0.021551724137931,464,28,50.2,30,0,0.45264198639001185
947222,0.0194690265486726,565,29,38.0,59,0,0.4269867186117857
12005,0.0160714285714286,560,23,65.2,51,0,0.40205753140706224
864756,0.0233812949640288,556,24,66.8,32,0,0.47772285956116767
793492,0.0200573065902579,349,23,96.5,37,0,0.400105354345729
524921,0.0177304964539007,564,37,84.1,37,0,0.4557784478731169
565582,0.0267489711934156,486,23,94.2,40,0,0.44390688028788033
586443,0.0305164319248826,426,28,56.9,28,1,0.4955858857155207
79189,0.0128205128205128,390,25,76.3,43,0,0.29870418970366025
718540,0.0141843971631206,423,36,55.0,52,0,0.441636100934552
396630,0.0157819225251076,697,39,58.1,55,0,0.28984113766309794
939943,0.0170278637770898,646,27,60.8,24,0,0.45521158688889335
993189,0.0170132325141777,529,17,57.9,54,0,0.2513773917117478
756181,0.0232067510548523,474,24,46.7,23,0,0.4676692930229886
794903,0.0200892857142857,448,28,76.2,50,0,0.4460527369357852
191185,0.0347593582887701,374,19,91.1,22,0,0.4691744991063304
637665,0.0199637023593466,551,21,32.2,37,0,0.39571439466740044
147541,0.0246575342465753,365,26,106.6,47,0,0.46098418139636177
523717,0.020997375328083996,381,25,55.5,51,0,0.4347932680951355
128234,0.0199203187250996,502,23,61.2,54,0,0.40775685713149457
303500,0.0109034267912773,642,28,3.9,47,0,0.2890529921751926
649503,0.0163132137030995,613,24,67.1,57,0,0.4445838820618378
660753,0.0138888888888889,576,22,67.4,36,0,0.4365768325496411
389885,0.0386904761904762,336,25,73.4,42,1,0.5012063338687648
721657,0.0203045685279188,394,17,64.5,47,0,0.2543182265494751
243749,0.0184210526315789,380,31,64.8,43,0,0.43067148737893507
568580,0.013953488372093002,645,24,73.7,47,0,0.4760230895534119
825412,0.0188976377952756,635,15,44.1,55,0,0.24702804285185737
929604,0.0118811881188119,505,40,96.2,33,0,0.31764001058391017
935961,0.00904977375565611,663,30,59.4,66,0,0.3023244215199915
800600,0.0251889168765743,397,27,80.4,40,0,0.4798169992265481
714419,0.0197368421052632,456,24,125.6,34,0,0.4588394529079812
131555,0.0225409836065574,488,23,58.3,47,0,0.416336952902533
522940,0.0215827338129496,417,16,79.7,53,0,0.2627952530414576
681922,0.0227272727272727,440,30,74.6,32,0,0.47570068670585175
45734,0.0277777777777778,324,33,84.6,52,0,0.47849967477309957
654390,0.015625,384,33,103.7,39,0,0.44482640568096776
700981,0.0305882352941176,425,34,40.6,31,1,0.4873767543471179
435161,0.0233545647558386,471,19,75.1,48,0,0.43462319038260505
722798,0.0509803921568627,255,18,73.0,31,0,0.31636560281576875
741194,0.0274599542334096,437,24,54.1,40,1,0.48474797715315626
241857,0.0234986945169713,383,26,62.7,34,0,0.46674311675156244
691507,0.0121317157712305,577,31,65.6,46,0,0.3051346189785331
433476,0.0159680638722555,501,23,58.8,31,0,0.40899573626527375
622636,0.0306122448979592,294,29,46.3,30,0,0.4741066852401503
390638,0.0158730158730159,504,21,101.8,35,0,0.4149979596165278
219700,0.0163204747774481,674,21,45.0,38,0,0.4067566759173374
174588,0.0255591054313099,313,38,82.3,48,0,0.46997981829573515
168027,0.0171428571428571,525,29,86.6,54,0,0.4483344730343459
414298,0.0161290322580645,558,23,55.6,23,0,0.40448728141708523
374990,0.0227272727272727,440,37,76.0,56,0,0.4742656602000833
290662,0.0198237885462555,454,17,71.5,40,0,0.2577922360958243
340562,0.026000000000000002,500,19,62.9,56,0,0.4454822626742187
352544,0.0176600441501104,453,25,40.2,35,0,0.4358807235903278
55128,0.0272108843537415,441,35,58.7,48,0,0.48839264411291117
212056,0.0153508771929825,456,21,104.9,50,0,0.4056036714736777
920578,0.0191637630662021,574,22,101.6,36,0,0.4149979596165278
404623,0.0210280373831776,428,32,114.4,37,0,0.46722292367528295
923356,0.0215264187866928,511,16,50.3,22,0,0.26633702266293535
72906,0.0235294117647059,340,15,48.6,39,0,0.25607831828307115
936983,0.0172043010752688,465,25,76.4,37,0,0.4447199299536896
730978,0.026578073089701,301,24,98.2,57,0,0.4670427100235051
876923,0.0160142348754448,562,41,59.5,43,0,0.45242057900402033
953250,0.0151843817787419,461,21,55.1,29,0,0.3958906301987494
399018,0.0265060240963855,415,28,52.6,42,0,0.47047829648254913
688576,0.0235081374321881,553,24,46.9,27,0,0.47306321875106006
168069,0.0267686424474187,523,24,63.7,48,0,0.4795156983866266
961977,0.0267489711934156,486,17,77.1,35,0,0.28487456346084833
916740,0.0213219616204691,469,31,64.1,34,0,0.46079196289481655
476175,0.0219298245614035,456,26,58.4,44,0,0.4581784150232245
682289,0.0203665987780041,491,18,77.0,31,0,0.2693044285029705
687457,0.0212314225053079,471,18,9.9,48,0,0.2472372549703296
597477,0.0182555780933063,493,34,86.8,49,0,0.44615277515258195
646617,0.0147255689424364,747,15,52.1,47,0,0.14405605451401207
108949,0.0111111111111111,630,18,80.2,47,0,0.1574696291487773
134686,0.0310077519379845,258,31,77.3,28,0,0.48568553374843937
418357,0.0167464114832536,418,14,103.8,28,0,0.25965369741897365
757284,0.0197841726618705,556,20,103.7,31,0,0.4235825193501438
392050,0.0237226277372263,548,31,58.5,51,0,0.470547026058892
269076,0.0133037694013304,451,19,34.7,40,0,0.2592364558404447
408855,0.0211538461538462,520,19,72.9,20,0,0.43911549034920166
269669,0.0128755364806867,466,32,45.3,41,0,0.29370360754320785
380061,0.0204081632653061,441,18,67.1,38,0,0.26210615417170047
506141,0.0316622691292876,379,45,45.3,49,0,0.4750715178964879
787240,0.0108892921960073,551,47,116.8,41,0,0.3178744514496656
83459,0.0132743362831858,678,25,77.9,32,0,0.18453806528100716
242367,0.0223123732251521,493,31,70.3,42,0,0.46473228676432277
815874,0.0192023633677991,677,27,57.2,36,0,0.2910270392536945
340426,0.0175718849840256,626,40,68.4,62,0,0.4430772166361554
262437,0.0163934426229508,610,20,65.1,45,0,0.40877264916215
685432,0.00569259962049336,527,35,84.7,27,0,0.313300662563799
340051,0.0227272727272727,352,39,65.1,41,0,0.46220254088942936
280916,0.0203160270880361,443,42,75.1,22,1,0.4713584563486949
846584,0.0129151291512915,542,41,61.2,30,0,0.3122942012526191
219931,0.007117437722419929,562,36,78.5,36,0,0.3152107316703387
537728,0.0162162162162162,555,22,28.8,38,0,0.39007252760356687
917972,0.0187617260787993,533,31,93.4,65,0,0.44114105781045426
518069,0.0213333333333333,375,35,43.1,48,0,0.4347932680951355
180169,0.0261044176706827,498,21,53.9,47,0,0.4305640814584588
703961,0.0128617363344051,622,21,63.7,22,0,0.27820180866102007
818635,0.0182815356489945,547,20,80.7,34,0,0.4122739657628961
762604,0.0273348519362187,439,21,47.7,47,0,0.43929967779951684
258016,0.0203160270880361,443,31,78.1,37,0,0.45948794741935434
635750,0.0281124497991968,498,9,71.4,44,0,0.29899607340769846
408596,0.0202205882352941,544,19,95.1,52,0,0.4292928279552728
596271,0.0188679245283019,530,9,60.0,45,0,0.25482879074801634
593441,0.0375,400,30,63.0,53,1,0.5043099809535712
42823,0.0216919739696312,461,26,71.6,40,0,0.4615429984266545
495614,0.0176767676767677,396,34,65.8,57,0,0.4346816299506881
819538,0.017741935483871003,620,20,62.0,37,0,0.40877264916215
718654,0.0291479820627803,446,14,81.5,42,0,0.2944777170443614
47569,0.0182724252491694,602,23,78.7,55,0,0.4076343902217803
472238,0.0140597539543058,569,29,73.8,49,0,0.45276464329998617
349391,0.0225303292894281,577,13,63.4,43,0,0.26793466294370094
259171,0.0168067226890756,476,37,84.8,43,0,0.4504131432569034
593310,0.0116788321167883,685,23,108.6,41,0,0.16269560693219662
799048,0.0109546165884194,639,24,60.7,23,0,0.3124524676551091
466918,0.0285714285714286,455,25,73.7,63,0,0.4844994399911808
544275,0.0266990291262136,412,20,60.4,42,0,0.43779944714798597
566631,0.0300230946882217,433,29,51.5,42,0,0.48474797715315626
341131,0.0168918918918919,592,23,86.3,40,0,0.4147738962703244
955161,0.0207900207900208,481,36,68.7,37,0,0.4638999818166622
857076,0.0152963671128107,523,30,74.8,45,0,0.45007295485732784
